For ^in++++=For
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
had ^vbd+hvd+aux++=had
retained ^vprf+++xvbnx+=retained
no ^at++++=no
image ^nn++++=image
of ^in++++=of
her ^pp$+pp3+++=her;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
after ^cs+sub+++=after
ten ^cd++++=ten
minutes ^nns++++=minutes
in ^in++++=in
her ^pp$+pp3+++=her
company ^nn++++=company
I ^pp1a+pp1+++=I
understood ^vbd+vprv++xvbnx+=understood
why ^wrb+who+whcl++=why.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
one ^pn++++=one
of ^in++++=of
those ^dt+dem+++=those
women ^nns++++=women
whose ^whp+rel+obj++=whose
absence ^nn+nom+++=absence
of ^in++++=of
emphasis ^nn++++=emphasis
becomes ^vbz++++=becomes,
, ^zz++++=EXTRAWORD
under ^in++++=under
favorable ^&fw++++=favorable
conditions ^nns+nom+++=conditions,
, ^zz++++=EXTRAWORD
almost ^rb+hdg+++=almost
a ^at++++=a
distinction ^nn+nom+++=distinction.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
face ^nn++++=face
was ^vbd+bedz+vrb++=was
neither ^dt++neg++=neither
young ^jj++++=young
nor ^cc+phrs+neg++=nor
old ^jj++++=old,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
voice ^nn++++=voice
neither ^rb++neg++=neither
low ^jj++++=low
nor ^cc+phrs+neg++=nor
loud ^jj++++=loud,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
opinions ^nns++++=opinions
neither ^dt++neg++=neither
her ^pp3o+pp3+++=her
own ^ap++++=own
nor ^cc++neg++=nor
anyone ^pn++++=anyone
else ^rb+cnj+++=else's.
's. ^nn+++??+=EXTRAWORD
She ^pp3a+pp3+++=She
wore ^vbd+++xvbnx+=wore
gray ^np++++=gray,
, ^zz++++=EXTRAWORD
liked ^j+++xvbn+=liked
the ^ati++++=the
sunshine ^nn++++=sunshine,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thought ^nn+++xvbn+=thought
the ^ati++++=the
view ^nn++++=view
" ^zz++++="too
too ^ql++++=EXTRAWORD
lovely ^jj++++=lovely."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
What ^wdt+who+++=What
made ^vprf+++xvbn+=made
her ^pp$+pp3+++=her
faintly ^rb++++=faintly
remarkable ^jj++++=remarkable
was ^vbd+bedz+vrb++=was
the ^ati++++=the
completeness ^nns+nom+++=completeness
with ^in++++=with
which ^whp+rel+pied++=which
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
escaped ^vprf+++xvbnx+=escaped
being ^vbg+beg++xvbg+=being
interesting ^jj++++=interesting.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
reflected ^vbd+vprv++xvbnx+=reflected,
, ^zz++++=EXTRAWORD
might ^md+pos+++=might
explain ^vb+vpub+++=explain
more ^rbr++++=more
than ^in++++=than
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Thwing ^np++++=Thwing's
's ^$++++=EXTRAWORD
theory ^nn++++=theory.
. ^zz++++=EXTRAWORD
The ^ati++++=The
women ^nns++++=women
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
helped ^vprf+++xvbnx+=helped
to ^to+vcmp+++=to
make ^vbi++++=make
Gisburn ^np+++??+=Gisburn
famous ^jj++++=famous
had ^vb+hv+aux++=had
all ^abn++++=all
been ^vb+jj+vrb+xvbn+=been
intensely ^rb+amp+++=intensely
interesting ^jj++++=interesting.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vbd+hvd+aux++=had
leaned ^vprf+++xvbnx+=leaned
over ^in++++=over
his ^pp$+pp3+++=his
easel ^nn++++=easel,
, ^zz++++=EXTRAWORD
discovered ^jj+atrb++xvbn+=discovered
moral ^jj+atrb+++=moral
crises ^nns++++=crises
in ^in++++=in
his ^pp$+pp3+++=his
underpainting ^nvbg+++xvbg+=underpainting,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
told ^vbd+vpub++xvbn+=told
him ^pp3o+pp3+++=him
that ^cs+sub+++=that
his ^pp$+pp3+++=his
whites ^nns++++=whites
were ^vbd+bed+vrb++=were
" ^zz++++="spiritual."
spiritual ^jj++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vbd+hvd+aux++=had
put ^vprf+++xvbnx+=put
their ^pp$+pp3+++=their
souls ^nns++++=souls
into ^in++++=into
his ^pp$+pp3+++=his
hands ^nns++++=hands
with ^in++++=with
the ^ati++++=the
reservation ^nn+nom+++=reservation
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
to ^to++++=to
make ^vbi++++=make
the ^ati++++=the
souls ^nns++++=souls
becoming ^vwbg+++xvbg+=becoming.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
repaid ^vprf+++xvbnx+=repaid
them ^pp3o+pp3+++=them
generously ^rb++++=generously.
. ^zz++++=EXTRAWORD
In ^in++++=In
his ^pp$+pp3+++=his
portraits ^nns++++=portraits
their ^pp$+pp3+++=their
cheekbones ^nns++++=cheekbones
acquired ^vbd+++xvbn+=acquired
significance ^nn+nom+++=significance,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
shoulders ^nns+nom+++=shoulders
history ^nn++++=history,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
fabric ^nn++++=fabric
of ^in++++=of
their ^pp$+pp3+++=their
gowns ^nns++++=gowns
that ^tht+rel+++=that
half ^abn++++=half-human
- ^zz++++=EXTRAWORD
human ^jj+atrb+++=EXTRAWORD
vitality ^nn+nom+++=vitality
which ^whp+rel+obj++=which
painters ^nns+nom+++=painters
of ^in++++=of
his ^pp$+pp3+++=his
sort ^nn++++=sort
reserve ^nn++++=reserve
for ^in++++=for
satin ^nn++++=satin
and ^cc++++=and
fur ^nn++++=fur.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
came ^vbd+++xvbn+=came
away ^rp+pl+++=away
persuaded ^vbn+vsua++xvbn+=persuaded
that ^tht+vcmp+++=that
Lady ^npt++++=Lady
Babberley ^np++++=Babberley's
's ^$++++=EXTRAWORD
sleeve ^nn++++=sleeve
had ^vbd+hvd+aux++=had
survived ^vprf+++xvbnx+=survived
dynasties ^nns+++??+=dynasties
and ^cc++++=and
that ^tht+vcmp+++=that
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Thwing ^np++++=Thwing's
's ^$++++=EXTRAWORD
pearls ^nns++++=pearls
had ^vbd+hvd+aux++=had
suffered ^vprf+++xvbnx+=suffered.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Gisburn ^np++++=Gisburn
would ^md+prd+++=would
have ^vb+hv+aux++=have
supplied ^vprf+++xvbnx+=supplied
no ^at++++=no
such ^abl++++=such
stimulant ^nn+nom+++=stimulant.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+vrb++=had
not ^xnot++not++=not
enough ^dt++++=enough
vanity ^nn++++=vanity
to ^to++++=to
be ^vbi++vrb++=be
inspirational ^jj+pred+++=inspirational;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
merely ^rb+down+++=merely
possessed ^vbd+++xvbn+=possessed
the ^ati++++=the
money ^nn++++=money
to ^to++++=to
be ^vbi++vrb++=be
useful ^jj+pred+++=useful.
. ^zz++++=EXTRAWORD
Jack ^np++++=Jack
came ^vbd+++xvbn+=came
in ^in++++=in
late ^jj++++=late,
, ^zz++++=EXTRAWORD
handsome ^jj++++=handsome,
, ^zz++++=EXTRAWORD
cordial ^jj++++=cordial,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
apparently ^rb++++=apparently
untouched ^jj++++=untouched
by ^in++++=by
his ^pp$+pp3+++=his
apostasy ^nn+++??+=apostasy.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+aux++=had
always ^rb++++=always
had ^vb+hv+vrb++=had
the ^ati++++=the
quality ^nn+nom+++=quality
of ^in++++=of
looking ^xvbg+++xvbg+=looking
cleverer ^jjr++++=cleverer
than ^in++++=than
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
partly ^rb+down+++=partly
because ^cs+cos+++=because
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
were ^vbd+bed+vrb++=were
quick ^jj+pred+++=quick
and ^cc++++=and
his ^pp$+pp3+++=his
forehead ^nn++++=forehead
spacious ^jj++++=spacious,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
partly ^rb+down+++=partly
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew
how ^wrb+who+whcl++=how
long ^vb++++=long
to ^to+vcmp+++=to
pause ^vbi++++=pause
before ^in++++=before
an ^at++++=an
answer ^nn++++=answer.
. ^zz++++=EXTRAWORD
Time ^nn++++=Time
and ^cc++++=and
leisure ^nn++++=leisure
had ^vbd+hvd+aux++=had
softened ^vprf+++xvbnx+=softened
him ^pp3o+pp3+++=him
without ^in++++=without
coarsening ^xvbg+++xvbg+=coarsening
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
gray ^np++++=gray
clothes ^nns++++=clothes
fitted ^vwbn+++xvbn+=fitted
him ^pp3o+pp3+++=him
with ^in++++=with
the ^ati++++=the
negligent ^jj+atrb+++=negligent
exactitude ^nn++++=exactitude
attainable ^jj++++=attainable
only ^rb+down+++=only
through ^in++++=through
repeated ^xvbn+++xvbn+=repeated
consultations ^nns+nom+++=consultations,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
manner ^nn++++=manner
suggested ^vbd+vpub++xvbn+=suggested
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
just ^rb+emph+splt++=just
returned ^vprf+++xvbnx+=returned
from ^in++++=from
some ^dti++++=some
agreeable ^jj+atrb+++=agreeable
exertion ^nn+nom+++=exertion
which ^whp+rel+obj++=which
others ^aps++++=others
were ^vbd+bed+aux++=were
not ^xnot++not++=not
equipped ^vbd+++xvbn+=equipped
to ^to++++=to
share ^vbi++++=share.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
dear ^jj+atrb+++=dear
Rickham ^np+++??+=Rickham!
! ^zz++++=EXTRAWORD
So ^ql++++=So
you ^pp2+pp2+++=you've
've ^vb+hv+aux++0=EXTRAWORD
come ^vprf+++xvbn+=come
to ^to++++=to
inspect ^vbi++++=inspect
the ^ati++++=the
ruins ^nns++++=ruins?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
look ^vb++++=look
ruined ^vbd+++xvbn+=ruined."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No?
no ^at++++=EXTRAWORD
? ^zz++++=EXTRAWORD
Wait ^vb++++=Wait
till ^cs+sub+++=till
you ^pp2+pp2+++=you've
've ^vb+hv+aux++0=EXTRAWORD
seen ^vprf+++xvbnx+=seen
my ^pp$+pp1+++=my
golf ^nn++++=golf."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Gisburn ^np++++=Gisburn
explained ^vbd+vpub++xvbn+=explained
that ^tht+vcmp+++=that
Jack ^np++++=Jack's
's ^$++++=EXTRAWORD
golf ^nn++++=golf
was ^vbd+bedz+vrb++=was
" ^zz++++="quite
quite ^rb++++=EXTRAWORD
wonderful ^jj++++=wonderful,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
never ^rb++++=never
took ^vbd+++xvbn+=took
it ^pp3+it+++=it
seriously ^rb++++=seriously;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Jack ^np++++=Jack,
, ^zz++++=EXTRAWORD
smiling ^jj+++xvbg+=smiling
at ^rb++++=at
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
observed ^vb+++xvbn+=observed
that ^tht+vcmp+++=that
taking ^vbg+++xvbg+=taking
things ^nns++++=things
seriously ^rb++++=seriously
was ^vbd+bedz+vrb++=was
the ^ati++++=the
most ^ql+emph+++=most
expensive ^jj+atrb+++=expensive
amusement ^nn+nom+++=amusement
of ^in++++=of
middle ^jjb+atrb+++=middle
age ^nn++++=age.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
at ^rb++++=at
ease ^nn++++=ease
too ^ql++++=too
much ^ap++++=much
at ^rb++++=at
ease ^nn++++=ease,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
old ^jj+atrb+++=old
animation ^nn+nom+++=animation
remained ^vbd+++xvbn+=remained,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
had ^vbd+hvd+aux++=had
lost ^vprf+++xvbnx+=lost
its ^pp$+it+++=its
object ^nn++++=object,
, ^zz++++=EXTRAWORD
like ^in++++=like
the ^ati++++=the
gesture ^nn++++=gesture
of ^in++++=of
a ^at++++=a
man ^nn++++=man
continuing ^vwbg+++xvbg+=continuing
to ^to++++=to
conduct ^vbi++++=conduct
after ^cs+sub+++=after
the ^ati++++=the
orchestra ^nn++++=orchestra
has ^vbz+hvz+aux++=has
stopped ^vprf+++xvbnx+=stopped.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
spoke ^vbd+++xvbnx+=spoke
of ^in++++=of
pictures ^nns++++=pictures,
