# ^zz++++=#
Silverhorns ^np+++??+=Silverhorns
laying ^nvbg+++xvbg+=laying
a ^at++++=a
thin ^jj+atrb+++=thin
varnish ^nn++++=varnish
upon ^in++++=upon
the ^ati++++=the
rails ^nns++++=rails.
. ^zz++++=EXTRAWORD
Water ^nn++++=Water
dripped ^vbd+++xvbn+=dripped
from ^in++++=from
the ^ati++++=the
eaves ^nns++++=eaves
with ^in++++=with
a ^at++++=a
maddening ^jj+atrb+++=maddening
regularity ^nn+nom+++=regularity.
. ^zz++++=EXTRAWORD
Inside ^jjb++++=Inside,
, ^zz++++=EXTRAWORD
the ^ati++++=the
waiting ^jj+++xvbg+=waiting-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
stove ^nn++++=stove
glowed ^vbd+++xvbn+=glowed
red ^jj++++=red
in ^in++++=in
its ^pp$+it+++=its
joints ^nns++++=joints
and ^cc++++=and
baked ^jj+atrb++xvbn+=baked
one ^cd1++++=one
side ^nn++++=side
of ^in++++=of
every ^at++++=every
traveller ^nn+nom+++=traveller
while ^cs+sub+++=while
the ^ati++++=the
draught ^nn++++=draught
under ^in++++=under
the ^ati++++=the
door ^nn++++=door
refrigerated ^vbd+++xvbn+=refrigerated
the ^ati++++=the
other ^ap++++=other.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
lumbermen ^vbd+++xvbn+=lumbermen
slept ^vprf+++xvbn+=slept
upon ^in++++=upon
a ^at++++=a
bench ^nn++++=bench,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
heads ^vbz++++=heads
fallen ^vprf+++xvbn+=fallen
together ^nn+nom+++=together
like ^in++++=like
conspirators ^nns++++=conspirators.
. ^zz++++=EXTRAWORD
A ^at++++=A
woman ^nn++++=woman
with ^in++++=with
a ^at++++=a
fretful ^jj+atrb+++=fretful
child ^nn++++=child
sat ^vbd+++xvbn+=sat
among ^in++++=among
battered ^jj+atrb++xvbn+=battered
valises ^nns++++=valises
tied ^vbd+++xvbn+=tied
with ^in++++=with
rope ^nn++++=rope.
. ^zz++++=EXTRAWORD
Somewhere ^rb++++=Somewhere
behind ^in+pl+++=behind
the ^ati++++=the
ticket ^nn++++=ticket
window ^nn++++=window
the ^ati++++=the
telegraph ^nn++++=telegraph
clicked ^vbd+++xvbn+=clicked,
, ^zz++++=EXTRAWORD
paused ^j+++xvbn+=paused,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
clicked ^vbd+++xvbn+=clicked
again ^rb+tm+++=again
with ^in++++=with
the ^ati++++=the
important ^jj+atrb+++=important
secrecy ^nn++++=secrecy
of ^in++++=of
an ^at++++=an
insect ^nn++++=insect
carrying ^vwbg+++xvbg+=carrying
government ^nn+nom+++=government
dispatches ^nns++++=dispatches.
. ^zz++++=EXTRAWORD
Hemenway ^np+++??+=Hemenway
had ^vbd+hvd+aux++=had
exhausted ^vprf+++xvbnx+=exhausted
the ^ati++++=the
newspapers ^nns+nom+++=newspapers,
, ^zz++++=EXTRAWORD
the ^ati++++=the
railway ^nn++++=railway
map ^nn++++=map,
, ^zz++++=EXTRAWORD
the ^ati++++=the
advertisements ^nns+nom+++=advertisements
for ^in++++=for
liver ^nn++++=liver
pills ^nns++++=pills,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
such ^abl++++=such
Christian ^jj+atrb+++=Christian
resignation ^nn+nom+++=resignation
as ^ql++++=as
seven ^cd++++=seven
unsuccessful ^jj+atrb+++=unsuccessful
moose ^nn+++??+=moose
hunts ^np++++=hunts
had ^vbd+hvd+aux++=had
left ^vprf+++xvbnx+=left
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
stood ^vbd+++xvbnx+=stood
now ^rn+tm+++=now
on ^in++++=on
the ^ati++++=the
platform ^nn++++=platform
beneath ^in+pl+++=beneath
the ^ati++++=the
dripping ^jj+atrb++xvbg+=dripping
roof ^nn++++=roof,
, ^zz++++=EXTRAWORD
a ^at++++=a
long ^jj++++=long,
, ^zz++++=EXTRAWORD
lean ^vb++++=lean
figure ^nn++++=figure
in ^in++++=in
a ^at++++=a
stained ^nn++++=stained
shooting ^vwbg+++xvbg+=shooting
coat ^nn++++=coat,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
gun ^nn++++=gun
case ^nn++++=case,
, ^zz++++=EXTRAWORD
a ^at++++=a
canvas ^nn++++=canvas
pack ^nn++++=pack,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
pair ^nn++++=pair
of ^in++++=of
snowshoes ^nn++++=snowshoes
arranged ^vwbn+vsua++xvbn+=arranged
about ^rb++++=about
him ^pp3o+pp3+++=him
like ^in++++=like
exhibits ^nns++++=exhibits
for ^in++++=for
the ^ati++++=the
prosecution ^nn+nom+++=prosecution.
. ^zz++++=EXTRAWORD
Beyond ^in++++=Beyond
the ^ati++++=the
tracks ^nns++++=tracks
the ^ati++++=the
village ^nn+nom+++=village
lights ^nns++++=lights
floated ^vbd+++xvbn+=floated
uncertainly ^rb++++=uncertainly
in ^in++++=in
the ^ati++++=the
fog ^nn++++=fog.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
yard ^nn++++=yard
a ^at++++=a
locomotive ^nn++++=locomotive
hissed ^vbd+++xvbn+=hissed
and ^cc+phrs+++=and
sizzled ^vbd+++xvbn+=sizzled
patiently ^rb+cnj+++=patiently,
, ^zz++++=EXTRAWORD
letting ^vbg+++xvbg+=letting
off ^rb+phrv+++=off
little ^ap++++=little
gusts ^nns++++=gusts
of ^in++++=of
steam ^nn++++=steam
as ^cs+sub+++=as
though ^cs+sub+++=though
muttering ^nvbg+++xvbg+=muttering
to ^in++++=to
itself ^ppl++++=itself
about ^in++++=about
the ^ati++++=the
incompetence ^nn+nom+++=incompetence
of ^in++++=of
mankind ^nn++++=mankind.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
engineer ^nn+nom+++=engineer
leaned ^vbd+++xvbn+=leaned
from ^in++++=from
the ^ati++++=the
cab ^nn++++=cab
and ^cc++++=and
smoked ^vbd+++xvbn+=smoked
a ^at++++=a
short ^jj+atrb+++=short
black ^jj+atrb+++=black
pipe ^nn++++=pipe.
. ^zz++++=EXTRAWORD
" ^zz++++="Is
is ^vbz+bez+vrb++=EXTRAWORD
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
Angus ^np++++=Angus?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Hemenway ^np+++??+=Hemenway
called ^vbd+++xvbn+=called.
. ^zz++++=EXTRAWORD
The ^ati++++=The
engineer ^nn+nom+++=engineer
removed ^vwbn+++xvbn+=removed
the ^ati++++=the
pipe ^nn++++=pipe.
. ^zz++++=EXTRAWORD
" ^zz++++="Unless
unless ^cs+cnd+++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
changed ^vprf+++xvbnx+=changed
in ^in++++=in
the ^ati++++=the
mist ^nn++++=mist,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
answered ^vbd+vpub++xvbnx+=answered.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc+cls+++=EXTRAWORD
if ^cs+cnd+++=if
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
Dud ^np+++??+=Dud
Hemenway ^np+++??+=Hemenway,
, ^zz++++=EXTRAWORD
ye ^pp2+pp2+++=ye've
've ^vb+hv+aux++0=EXTRAWORD
come ^vprf+++xvbn+=come
home ^nr++++=home
without ^in++++=without
a ^at++++=a
moose ^nn+++??+=moose
again ^rb+tm+++=again."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Hemenway ^np+++??+=Hemenway
crossed ^vbd+++xvbn+=crossed
the ^ati++++=the
wet ^jj+atrb+++=wet
rails ^nns++++=rails.
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+whq++=EXTRAWORD
can ^md+pos+++=can
you ^pp2+pp2+++=you
tell ^vb++++=tell?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="By
by ^in++++=EXTRAWORD
the ^ati++++=the
melancholy ^jj+atrb+++=melancholy
droop ^nn+++??+=droop
of ^in++++=of
your ^pp$+pp2+++=your
shoulders ^nns+nom+++=shoulders,
, ^zz++++=EXTRAWORD
man ^nn++++=man.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
ye ^pp2+pp2+++=ye'd
'd ^vbd+hvd+aux++0=EXTRAWORD
killed ^vprf+++xvbnx+=killed
one ^pn++++=one,
, ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
chest ^nn++++=chest
would ^md+prd+++=would
be ^vb+be+vrb++=be
two ^cd++++=two
foot ^nn++++=foot
farther ^rbr++++=farther
east ^np+pl+++=east
than ^in++++=than
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
ye ^pp2+pp2+++=ye."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Angus ^np++++=Angus
Mcleod ^np+++??+=McLeod
was ^vbd+bedz+vrb++=was
a ^at++++=a
square ^nn++++=square,
, ^zz++++=EXTRAWORD
grizzled ^jj+atrb+++=grizzled
Scot ^nn++++=Scot
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
driven ^vprf+++xvbnx+=driven
engines ^nns++++=engines
through ^in++++=through
the ^ati++++=the
Canadian ^jj+atrb+++=Canadian
forests ^nns++++=forests
so ^ql++++=so
long ^rb++++=long
that ^dt+dem+++=that
he ^pp3a+pp3+++=he
appeared ^vbd+seem++xvbnx+=appeared
to ^to+vcmp+++=to
have ^vbi++++=have
acquired ^vprf+++xvbn+=acquired
some ^dti++++=some
of ^in++++=of
their ^pp$+pp3+++=their
properties ^nns++++=properties.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
beard ^nn++++=beard
was ^vbd+bedz+vrb++=was
the ^ati++++=the
colour ^nn++++=colour
of ^in++++=of
cinders ^nns+nom+++=cinders,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
face ^nn++++=face
was ^vbd+bedz+aux++=was
seamed ^vpsv++agls+xvbnx+=seamed
like ^in++++=like
a ^at++++=a
firebox ^nn+++??+=firebox
door ^nn++++=door,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
blue ^jj+atrb+++=blue
eyes ^nns++++=eyes
shone ^vbd+++xvbn+=shone
with ^in++++=with
the ^ati++++=the
cheerful ^jj+atrb+++=cheerful
vigilance ^nn+nom+++=vigilance
of ^in++++=of
signal ^nn++++=signal
lamps ^nns++++=lamps.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
regarded ^vbd+++xvbnx+=regarded
hunting ^np+++xvbg+=hunting
as ^ql++++=as
a ^at++++=a
form ^nn++++=form
of ^in++++=of
murder ^nn++++=murder
practised ^vwbn+++xvbn+=practised
by ^in++++=by
gentlemen ^nns++++=gentlemen
who ^whp+rel+subj++=who
had ^vb+hv+vrb++=had
not ^xnot++not++=not
the ^ati++++=the
courage ^nn+nom+++=courage
to ^to++++=to
become ^vbi++++=become
butchers ^nns+nom+++=butchers,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
ate ^vbd+++xvbnx+=ate
venison ^nn++++=venison
whenever ^nn+nom+++=whenever
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
offered ^vpsv++agls+xvbnx+=offered
and ^cc+phrs+++=and
criticised ^vbd+++xvbn+=criticised
the ^ati++++=the
cooking ^jj+++xvbg+=cooking
with ^in++++=with
authority ^nn+nom+++=authority.
. ^zz++++=EXTRAWORD
" ^zz++++="When
when ^wrb+who+whq++=EXTRAWORD
does ^vbz+doz+aux++=does
the ^ati++++=the
express ^nn++++=express
arrive ^vb++++=arrive?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Hemenway ^np+++??+=Hemenway
asked ^vbd+vsua++xvbn+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="Officially,
officially ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
ten ^cd++++=ten-forty."
- ^zz++++=EXTRAWORD
forty ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
know ^vb+vprv+++=know
when ^wrb+who+whcl++=when
it ^pp3+it+++=it
officially ^rb++++=officially
arrives ^vbz++++=arrives."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
ye ^pp2+pp2+++=ye
ken ^np++++=ken
more ^ql++++=more
than ^cs+sub+++=than
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=do.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
washout ^nn+++??+=washout
south ^nr+pl+++=south
of ^in++++=of
St ^npt++++=St.
. ^zz++++=EXTRAWORD
Fabien ^np+++??+=Fabien,
, ^zz++++=EXTRAWORD
a ^at++++=a
freight ^nn++++=freight
stalled ^vbd+++xvbn+=stalled
at ^in++++=at
Mile ^nn++++=Mile
Ninety ^cd++++=Ninety,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
superintendent ^nn++++=superintendent
in ^in++++=in
his ^pp$+pp3+++=his
bed ^nn++++=bed.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Lord ^npt++++=Lord
alone ^rb++++=alone
could ^md+pos+++=could
tell ^vb++++=tell
when ^wrb+who+++=when
she ^pp3a+pp3+++=she'll
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+vrb++=be
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
He ^pp3a+pp3+++=He
has ^vbz+hvz+vrb++=has
other ^ap++++=other
afflictions ^nns+nom+++=afflictions
to ^to++++=to
supervise ^vbi++++=supervise."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Hemenway ^np+++??+=Hemenway
looked ^vbd+++xvbn+=looked
at ^rb++++=at
the ^ati++++=the
waiting ^jj+++xvbg+=waiting-room,
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
child ^nn++++=child
had ^vbd+hvd+aux++=had
begun ^vprf+++xvbnx+=begun
a ^at++++=a
thin ^jj+atrb+++=thin,
, ^zz++++=EXTRAWORD
monotonous ^jj+atrb+++=monotonous
wail ^nn++++=wail.
. ^zz++++=EXTRAWORD
" ^zz++++="Come
come ^vprf+++xvbn+=EXTRAWORD
into ^in+ppvb+++=into
the ^ati++++=the
cab ^nn++++=cab,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mcleod ^np+++??+=McLeod.
. ^zz++++=EXTRAWORD
" ^zz++++="There's
there ^ex+pex+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
warmth ^nn++++=warmth
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I've
've ^vb+hv+vrb++0=EXTRAWORD
coffee ^nn++++=coffee
that ^tht+rel+subj++=that
would ^md+prd+++=would
dissolve ^vb++++=dissolve
a ^at++++=a
horseshoe ^nn+++??+=horseshoe.
. ^zz++++=EXTRAWORD
Ye ^pp2+pp2+++=Ye
can ^md+pos+++=can
confess ^nns+nom+++=confess
your ^pp$+pp2+++=your
crimes ^nns++++=crimes
while ^cs+sub+++=while
we ^pp1a+pp1+++=we
wait ^vb++++=wait."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
committed ^vprf+++xvbnx+=committed
none ^pn++++=none."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
confess ^nns+nom+++=confess
your ^pp$+pp2+++=your
intentions ^nns+nom+++=intentions.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They're
're ^vb+ber+vrb++0=EXTRAWORD
nearly ^rb+down+++=nearly
as ^ql++++=as
black ^np++++=black."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
locomotive ^nn++++=locomotive
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
coupled ^vpsv++agls+xvbnx+=coupled
to ^in++++=to
a ^at++++=a
short ^jj+atrb+++=short
local ^jj+atrb+++=local
train ^nn++++=train
standing ^vwbg+++xvbg+=standing
on ^in++++=on
a ^at++++=a
siding ^nvbg+++xvbg+=siding.
. ^zz++++=EXTRAWORD
Mcleod ^np+++??+=McLeod
was ^vbd+bedz+aux++=was
to ^to++++=to
take ^vbi++++=take
it ^pp3+it+++=it
west ^np+pl+++=west
after ^cs+sub+++=after
the ^ati++++=the
express ^nn++++=express
passed ^vbd+++xvbn+=passed.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
cab ^nn++++=cab
the ^ati++++=the
furnace ^nn++++=furnace
light ^nn++++=light
leaped ^vbd+++xvbn+=leaped
upon ^in++++=upon
brass ^nn++++=brass
handles ^nns++++=handles,
, ^zz++++=EXTRAWORD
gauges ^nns++++=gauges,
, ^zz++++=EXTRAWORD
oily ^jj+atrb+++=oily
steel ^nn++++=steel,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
solemn ^jj+atrb+++=solemn
face ^nn++++=face
of ^in++++=of
the ^ati++++=the
fireman ^nn++++=fireman,
, ^zz++++=EXTRAWORD
young ^jj+atrb+++=young
Baptiste ^np+++??+=Baptiste
Leduc ^np+++??+=Leduc,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
acknowledged ^vbd+vpub++xvbn+=acknowledged
Hemenway ^np+++??+=Hemenway
with ^in++++=with
a ^at++++=a
nod ^nn++++=nod
and ^cc++++=and
continued ^vbd+++xvbn+=continued
polishing ^vbg+++xvbg+=polishing
an ^at++++=an
injector ^nn++++=injector
as ^cs+sub+++=as
if ^cs+cnd+++=if
the ^ati++++=the
salvation ^nn+nom+++=salvation
of ^in++++=of
his ^pp$+pp3+++=his
soul ^nn++++=soul
depended ^vbd+++xvbn+=depended
upon ^in++++=upon
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Mcleod ^np+++??+=McLeod
poured ^vbd+++xvbn+=poured
coffee ^nn++++=coffee
from ^in++++=from
a ^at++++=a
tin ^nn++++=tin
pot ^vb++++=pot.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
hot ^jj+pred+++=hot,
, ^zz++++=EXTRAWORD
black ^jj++++=black,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
of ^in++++=of
such ^abl++++=such
strength ^nn++++=strength
that ^tht+rel+obj++=that
Hemenway ^np+++??+=Hemenway
suspected ^vbd+vprv+tht0+xvbn+=suspected
it ^pp3+it+++=it
had ^vb+hv+aux++=had
already ^rb++splt++=already
served ^vprf+++xvbnx+=served
one ^cd1++++=one
term ^nn++++=term
as ^in++++=as
axle ^nn++++=axle
grease ^nn++++=grease.
. ^zz++++=EXTRAWORD
" ^zz++++="Well?"
well ^rb++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
engineer ^nn+nom+++=engineer.
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
many ^ap++++=many
innocent ^jj+atrb+++=innocent
creatures ^nns++++=creatures
have ^vb+hv+aux++=have
escaped ^vprf+++xvbnx+=escaped
ye ^pp2+pp2+++=ye
this ^dt+dem+++=this
time ^nn++++=time?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="All
all ^abn++++=EXTRAWORD
of ^in++++=of
them ^pp3o+pp3+++=them."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
merciful ^jj+atrb+++=merciful
Providence ^np+nom++??+=Providence!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="One
one ^cd1++++=EXTRAWORD
bull ^nn++++=bull
in ^rb++++=in
particular ^rb"++++=particular."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Ah!
ah ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
The ^ati++++=The
famous ^jj+atrb+++=famous
Silverhorns ^np+++??+=Silverhorns?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Hemenway ^np+++??+=Hemenway
looked ^vbd+++xvbn+=looked
up ^rp++++=up.
. ^zz++++=EXTRAWORD
" ^zz++++="You've
you ^pp2+pp2+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
heard ^vprf+++xvbnx+=heard
of ^in++++=of
him ^pp3o+pp3+++=him?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Every
every ^at++++=EXTRAWORD
guide ^nn++++=guide
from ^in++++=from
here ^rn+pl+++=here
to ^in++++=to
Chicoutimi ^np+++??+=Chicoutimi
has ^vbz+hvz+aux++=has
heard ^vprf+++xvbnx+=heard
of ^in++++=of
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Old ^jj+atrb+++=Old
bull ^nn++++=bull,
, ^zz++++=EXTRAWORD
near ^in+pl+++=near
seven ^cd++++=seven
foot ^nn++++=foot
at ^in++++=at
the ^ati++++=the
shoulder ^nn+nom+++=shoulder;
; ^zz++++=EXTRAWORD
spread ^j+++xvbn+=spread
like ^in++++=like
a ^at++++=a
rocking ^jj+atrb++xvbg+=rocking
chair ^nn++++=chair;
; ^zz++++=EXTRAWORD
one ^cd1++++=one
tine ^nn+++??+=tine
white ^jj++++=white
as ^ql++++=as
a ^at++++=a
bishop ^nn++++=bishop's
's ^$++++=EXTRAWORD
conscience ^nn+nom+++=conscience
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
to ^to++++=to
say ^vbi+vpub+++=say,
, ^zz++++=EXTRAWORD
white ^np++++=white
enough ^qlp++++=enough
at ^rb++++=at
a ^at++++=a
distance ^nn+nom+++=distance.
. ^zz++++=EXTRAWORD
Is ^vbz+bez+vrb++=Is
that ^tht+vcmp+++=that
the ^ati++++=the
beast ^nn++++=beast?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
beast ^nn++++=beast."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
ye ^pp2+pp2+++=ye've
've ^vb+hv+aux++0=EXTRAWORD
been ^vprf+ben+aux+xvbnx+=been
trying ^vbg+++xvbgx+=trying
to ^to+vcmp+++=to
murder ^vbi++++=murder
him ^pp3o+pp3+++=him
these ^dt+dem+++=these
seven ^cd++++=seven
years ^nns++++=years."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Hunt
hunt ^nn++++=EXTRAWORD
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
Angus ^np++++=Angus."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Murder
murder ^nn++++=EXTRAWORD
him ^pp3o+pp3+++=him."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Hunt."
hunt ^np++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
a ^at++++=a
man ^nn++++=man
creeps ^nns+++??+=creeps
through ^in++++=through
the ^ati++++=the
bushes ^nns++++=bushes
with ^in++++=with
a ^at++++=a
rifle ^nn++++=rifle
and ^cc++++=and
puts ^vbz++++=puts
a ^at++++=a
bullet ^nn++++=bullet
behind ^in+pl+++=behind
an ^at++++=an
animal ^nn++++=animal's
's ^$++++=EXTRAWORD
shoulder ^nn+nom+++=shoulder,
, ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what
does ^vbz+doz+aux++=does
the ^ati++++=the
catechism ^nn+nom+++=catechism
call ^nn++++=call
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Sport."
sport ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
catechism ^nn+nom+++=catechism
ye ^pp2+pp2+++=ye
studied ^vbd+++xvbn+=studied
must ^md+nec+++=must
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
printed ^vpsv++agls+xvbnx+=printed
in ^in++++=in
Boston ^np++++=Boston."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Hemenway ^np+++??+=Hemenway
smiled ^vbd+++xvbn+=smiled
in ^in++++=in
spite ^in"++++=spite
of ^in"++++=of
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
" ^zz++++="Very
very ^ql+amp+++=EXTRAWORD
well ^rb++++=well.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
spent ^vprf+++xvbnx+=spent
seven ^cd++++=seven
seasons ^nns++++=seasons
trying ^vb+++xvbg+=trying
