Well ^rb+cnj+++=Well,
was ^vbd+bedz+vrb++=was
the ^ati++++=the
occasion ^nn++++=occasion
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
he ^pp3a+pp3+++=he
joined ^vbd+++xvbnx+=joined
at ^rb++++=at
a ^at++++=a
distance ^nn+nom+++=distance,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
under ^in++++=under
protest ^nn++++=protest,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
with ^in++++=with
conditions ^nns+nom+++=conditions
attached ^vbd+++xvbn+=attached,
, ^zz++++=EXTRAWORD
like ^in++++=like
he ^pp3a+pp3+++=he
does ^vbz+doz+vrb++=does
most ^ap+emph+++=most
everything ^pn++++=everything.
. ^zz++++=EXTRAWORD
Sonny ^nn++++=Sonny'll
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+vrb++=be
six ^cd++++=six
year ^nn++++=year
old ^jj++++=old
come ^vb++++=come
cane ^nn++++=cane-grindin'
- ^zz++++=EXTRAWORD
grindin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
time ^nn++++=time,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
he ^pp3a+pp3+++=he's
's ^vbz+bez+aux++0=EXTRAWORD
got ^vpsv++agls+xvbnx+=got
views ^nns++++=views.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
say ^vb+vpub+tht0++=say
they ^pp3a+pp3+++=they're
're ^vb+ber+vrb++0=EXTRAWORD
always ^rb++++=always
correct ^jj+atrb+++=correct
views ^nns++++=views,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
yet ^rb++++=yet
suitable ^jj++++=suitable
to ^in++++=to
his ^pp$+pp3+++=his
age ^nn++++=age,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
fixed ^vpsv++agls+xvbnx+=fixed.
. ^zz++++=EXTRAWORD
A ^at++++=A
mule ^nn++++=mule's
's ^$++++=EXTRAWORD
opinion ^nn++++=opinion
is ^vbz+bez+vrb++=is
open ^jj+pred+++=open
to ^in++++=to
argument ^nn+nom+++=argument
alongside ^in+pl+++=alongside
of ^in++++0=o'
Sonny ^nn++++=Sonny's.
's. ^nn+++??+=EXTRAWORD
His ^pp$+pp3+++=His
mother ^nn++++=mother
says ^vbz+vpub+tht0++=says
that ^tht+vcmp+++=that
shows ^vbz+vprv+++=shows
strength ^nn++++=strength
of ^in++++=of
character ^nn+nom+++=character,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
I ^pp1a+pp1+++=I
reckon ^vb+vprv+tht0++=reckon
it ^pp3+it+++=it
does ^vbz+doz+vrb++=does,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
sometimes ^rb++++=sometimes
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
thought ^vprf+++xvbnx+=thought
a ^rb++++=a
little ^rb"++++=little
weakness ^nns+nom+++=weakness,
, ^zz++++=EXTRAWORD
distributed ^xvbn+++xvbn+=distributed
judicious ^jj++++=judicious,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
make ^vb++++=make
family ^nn++++=family
government ^nn+nom+++=government
easier ^jjr++++=easier.
. ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
never ^rb++++=never
did ^vbd+dod+vrb++=did
aim ^vb++++=aim
to ^to+vcmp+++=to
raise ^vbi++++=raise
him ^pp3o+pp3+++=him
without ^in++++=without
religion ^nn++++=religion.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
wanted ^vbd+++xvbn+=wanted
him ^pp3o+pp3+++=him
to ^to++++=to
have ^vbi++vrb++=have
all ^rb++++=all
the ^ati++++=the
religion ^nn++++=religion
suitable ^jj++++=suitable
to ^in++++=to
his ^pp$+pp3+++=his
constitution ^nn+nom+++=constitution,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
we ^pp1a+pp1+++=we
differed ^vbd+++xvbn+=differed
some ^dti++++=some
about ^in++++=about
what ^wdt+who+++=what
sort ^nn++++=sort.
. ^zz++++=EXTRAWORD
Marthy ^np++++=Marthy's
's ^$++++=EXTRAWORD
people ^nns++++=people
was ^vbd+bedz+vrb++=was
Methodists ^nns+nom++??+=Methodists,
, ^zz++++=EXTRAWORD
mostly ^rb+cnj+++=mostly,
, ^zz++++=EXTRAWORD
except ^in++++=except
Uncle ^nn++++=Uncle
Wash ^nn++++=Wash,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
took ^vbd+++xvbn+=took
up ^rb+phrv+++=up
with ^in+ppvb+++=with
the ^ati++++=the
Hard ^jj++++=Hard-shell
- ^zz++++=EXTRAWORD
shell ^nn++++=EXTRAWORD
Baptists ^nns+nom++??+=Baptists
after ^cs+sub+++=after
a ^at++++=a
spell ^nn++++=spell
of ^in++++=of
rheumatism ^nn+nom+++=rheumatism
and ^cc++++0=an'
held ^vbd+vprv++xvbn+=held
out ^rp+pl+++=out
faithful ^jj++++=faithful
till ^cs+sub+++=till
he ^pp3a+pp3+++=he
died ^vbd+++xvbnx+=died.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
folks ^nns++++=folks
was ^vbd+bedz+aux++=was
divided ^vpsv++agls+xvbnx+=divided.
. ^zz++++=EXTRAWORD
Father ^nn++++=Father
leaned ^vbd+++xvbn+=leaned
Presbyterian ^jj++++=Presbyterian
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
liked ^vbd+++xvbnx+=liked
a ^at++++=a
sermon ^nn++++=sermon
that ^tht+rel+subj++=that
proved ^vprf+++xvbn+=proved
things ^nns++++=things,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
mother ^nn++++=mother
went ^vbd+++xvbn+=went
where ^wrb+who+++=where
the ^ati++++=the
singin ^nn+++??+=singin'
' ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
best ^jjt+pred+++=best.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++0=I'd
'd ^md+prd+aux++=EXTRAWORD
always ^rb++splt++=always
held ^vprf+++xvbnx+=held
that ^tht+vcmp+++=that
a ^at++++=a
man ^nn++++=man
could ^md+pos+++=could
get ^vb++++=get
to ^to+vcmp+++=to
heaven ^vb++++=heaven
by ^in++++=by
any ^dti++++=any
respectable ^jj+atrb+++=respectable
road ^npl++++=road
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
traveled ^vbd+++xvbnx+=traveled
honest ^jj++++=honest,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
so ^ql++++=so
when ^wrb+who+++=when
Sonny ^nn++++=Sonny
come ^vb++++=come
I ^pp1a+pp1+++=I
says ^vbz+vpub+++=says
to ^to+vcmp+++=to
Marthy ^vb+++??+=Marthy:
: ^zz++++=EXTRAWORD
" ^zz++++="Let
let ^vb+++xvbn+=EXTRAWORD
the ^ati++++=the
child ^nn++++=child
choose ^vb++++=choose
for ^in++++=for
hisself ^nn+++??+=hisself."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
him ^pp3o+pp3+++=him
layin ^nn+++??+=layin'
' ^zz++++=EXTRAWORD
there ^rn+pl+++=there
in ^in++++=in
the ^ati++++=the
cradle ^nn++++=cradle,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
more ^rbr++++=more'n
'n ^vb+++??+=EXTRAWORD
a ^at++++=a
week ^nn++++=week
old ^jj++++=old
and ^cc++++0=an'
with ^in++++=with
no ^at++++=no
more ^rbr++++=more
expression ^nn++++=expression
than ^in++++=than
a ^at++++=a
peeled ^jj+atrb++xvbn+=peeled
apple ^nn++++=apple,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
she ^pp3a+pp3+++=she
says ^vbz+vpub+++=says:
: ^zz++++=EXTRAWORD
" ^zz++++="Deuteronomy,
deuteronomy ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
competent ^jj++++=competent."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
now ^rn+tm+++=now,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc+cls+++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
gets ^vbz++++=gets
old ^jj++++=old
enough ^qlp++++=enough
to ^to++++=to
show ^vbi+vprv+++=show
a ^at++++=a
preference ^nn+nom+++=preference."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
showed ^vbd+vprv++xvbnx+=showed
preferences ^nns+nom+++=preferences
early ^jj++++=early.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
preferred ^vbd+++xvbnx+=preferred
to ^to+vcmp+++=to
sleep ^vbi++++=sleep
daytime ^nn++++=daytime
and ^cc++++0=an'
discuss ^vb++++=discuss
matters ^nns+nom+++=matters
at ^rb++++=at
night ^nn++++=night.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
preferred ^vbd+++xvbnx+=preferred
the ^ati++++=the
cream ^nn++++=cream
pitcher ^nn++++=pitcher
to ^in++++=to
his ^pp$+pp3+++=his
tin ^nn++++=tin
cup ^nn++++=cup.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
preferred ^vbd+++xvbnx+=preferred
my ^pp$+pp1+++=my
razor ^nn++++=razor
strop ^nn+++??+=strop
for ^in++++=for
hitchin ^np++++=hitchin'
' ^zz++++=EXTRAWORD
the ^ati++++=the
cat ^nn++++=cat
to ^in++++=to
the ^ati++++=the
churn ^nn++++=churn.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
in ^in++++=in
religion ^nn++++=religion
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
slower ^jjr+pred+++=slower.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
press ^nn++++=press
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
believe ^vb+vprv+++=believe
in ^in++++=in
pressin ^nn+++??+=pressin'
' ^zz++++=EXTRAWORD
a ^at++++=a
child ^nn++++=child's
's ^$++++=EXTRAWORD
conscience ^nn+nom+++=conscience,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
when ^wrb+who+++=when
pressin ^nn+++??+=pressin'
' ^zz++++=EXTRAWORD
any ^dti++++=any
other ^ap++++=other
part ^nn++++=part
of ^in++++=of
him ^pp3o+pp3+++=him
is ^vbz+bez+vrb++=is
liable ^jj+pred+++=liable
to ^to+jcmp+++=to
bring ^vbi++++=bring
on ^in++++=on
a ^at++++=a
fit ^nn++++=fit
of ^in++++=of
kickin ^nn+++??+=kickin'.
'. ^nn+++??+=EXTRAWORD
So ^ql++++=So
we ^pp1a+pp1+++=we
give ^vb++++=give
him ^pp3o+pp3+++=him
opportunities ^nns+nom+++=opportunities.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
Sunday ^nr++++=Sunday
for ^in++++=for
nigh ^rb++++=nigh
on ^in++++=on
a ^at++++=a
year ^nn++++=year
we ^pp1a+pp1+++=we
carried ^vbd+++xvbn+=carried
him ^pp3o+pp3+++=him
somewheres ^nns+nom++??+=somewheres
different ^jj++++=different.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
went ^vbd+++xvbnx+=went
to ^in++++=to
the ^ati++++=the
Methodist ^jj+atrb+++=Methodist
meetin ^nn+++??+=meetin',
', ^nn+++??+=EXTRAWORD
and ^cc++++0=an'
liked ^vbd+++xvbn+=liked
the ^ati++++=the
hymns ^nns++++=hymns,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
when ^wrb+who+++=when
Brother ^nn++++=Brother
Bledsoe ^np+++??+=Bledsoe
slapped ^vbd+++xvbn+=slapped
the ^ati++++=the
pulpit ^nn++++=pulpit
and ^cc++++0=an'
hollered ^jj+++xvbn+=hollered
sudden ^jj++++=sudden,
, ^zz++++=EXTRAWORD
Sonny ^nn++++=Sonny
ducked ^vbd+++xvbn+=ducked
under ^in++++=under
the ^ati++++=the
bench ^nn++++=bench
and ^cc++++0=an'
bit ^nn++++=bit
Marthy ^np+++??+=Marthy
on ^in++++=on
the ^ati++++=the
ankle ^nn++++=ankle,
, ^zz++++=EXTRAWORD
supposin ^nn+++??+=supposin',
', ^nn+++??+=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
afterward ^rb+cnj+++=afterward,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
preacher ^nn+nom+++=preacher
was ^vbd+bedz+vrb++=was
shootin ^nn+++??+=shootin'.
'. ^nn+++??+=EXTRAWORD
We ^pp1a+pp1+++=We
took ^vbd+++xvbn+=took
him ^pp3o+pp3+++=him
to ^in++++=to
the ^ati++++=the
Baptists ^nns+nom++??+=Baptists,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
pleased ^vpsv++agls+xvbnx+=pleased
with ^in++++=with
the ^ati++++=the
immersion ^nn++++=immersion
till ^cs+sub+++=till
he ^pp3a+pp3+++=he
learned ^vbd+vprv+tht0+xvbnx+=learned
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
intended ^vpsv++agls+xvbnx+=intended
for ^in++++=for
people ^nns++++=people
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
preachers ^nns+nom+++=preachers.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
' ^zz++++='lowed
lowed ^vwbn+++xvbn+=EXTRAWORD
they ^pp3a+pp3+++=they
could ^md+pos+++=could
do ^vb+do+vrb++=do
it ^pp3+it+++=it
to ^in++++=to
Brother ^nn++++=Brother
Hanks ^np+++??+=Hanks
as ^in++++=as
frequent ^jj++++=frequent
as ^ql++++=as
they ^pp3a+pp3+++=they
wanted ^vbd+++xvbnx+=wanted,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
need ^vb++++=needn't
n't ^xnot++not++0=EXTRAWORD
count ^vb++++=count
on ^in+ppvb+++=on
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
Presbyterian ^jj+atrb+++=Presbyterian
church ^nn++++=church
he ^pp3a+pp3+++=he
admired ^vbd+++xvbnx+=admired
the ^ati++++=the
carpet ^nn++++=carpet
and ^cc++++0=an'
the ^ati++++=the
minister ^nn+nom+++=minister's
's ^$++++=EXTRAWORD
spectacles ^nns++++=spectacles,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
said ^vbd+vpub+tht0+xvbnx+=said
the ^ati++++=the
sermon ^nn++++=sermon
was ^vbd+bedz+vrb++=was
too ^ql++++=too
long ^rb++++=long
between ^in++++=between
drinks ^nns++++=drinks.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
was ^vbd+bedz+vrb++=was
because ^cs+cos+++=because
we ^pp1a+pp1+++=we'd
'd ^vbd+hvd+aux++0=EXTRAWORD
promised ^vprf+++xvbnx+=promised
him ^pp3o+pp3+++=him
a ^at++++=a
dipper ^nn++++=dipper
at ^in++++=at
the ^ati++++=the
spring ^nn++++=spring
afterward ^rb++++=afterward.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
behaved ^vbd+++xvbnx+=behaved
scandalous ^jj++++=scandalous
at ^in++++=at
the ^ati++++=the
Cumberland ^np++++=Cumberland
meetin ^nn+++??+=meetin'
' ^zz++++=EXTRAWORD
because ^cs+cos+++=because
a ^at++++=a
June ^nr++++=June
bug ^nn++++=bug
got ^vbd+++xvbn+=got
into ^in+ppvb+++=into
the ^ati++++=the
window ^nn++++=window,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
he ^pp3a+pp3+++=he
considered ^vbd+vprv+tht0+xvbnx+=considered
its ^pp$+it+++=its
struggles ^nns++++=struggles
more ^rbr++++=more
doctrinal ^jj++++=doctrinal
than ^in++++=than
the ^ati++++=the
discourse ^nn++++=discourse.
. ^zz++++=EXTRAWORD
Still ^rb+cnj+++=Still,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
never ^rb++++=never
judged ^vbd+vprv++xvbn+=judged
the ^ati++++=the
denomination ^nn+nom+++=denomination
by ^in++++=by
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
A ^at++++=A
church ^nn++++=church
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+aux++=be
held ^vpsv++agls+xvbnx+=held
responsible ^jj++++=responsible
for ^in++++=for
what ^wdt+who+++=what
crawls ^vbz++++=crawls
in ^in++++=in
through ^in++++=through
its ^pp$+it+++=its
windows ^nns++++=windows.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
one ^cd1++++=one
Sunday ^nr++++=Sunday
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Penelope ^np+++??+=Penelope
Carter ^np++++=Carter
invited ^vwbn+++xvbn+=invited
us ^pp1o+pp1+++=us
to ^in++++=to
Saint ^npt++++=Saint
Luke ^np++++=Luke's,
's, ^nn+++??+=EXTRAWORD
the ^ati++++=the
little ^ap++++=little
' ^zz++++='Piscopal
piscopal ^jj+atrb+++=EXTRAWORD
church ^npl++++=church
over ^in++++=over
beyond ^in++++=beyond
Turkey ^np++++=Turkey
Creek ^npl++++=Creek.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+aux++0=EXTRAWORD
made ^vpsv++agls+xvbnx+=made
out ^rp+pl+++=out
of ^in++++0=o'
stone ^nn++++=stone,
, ^zz++++=EXTRAWORD
with ^in++++=with
colored ^jj+atrb++xvbn+=colored
glass ^nn++++=glass
and ^cc++++0=an'
a ^at++++=a
bell ^nn++++=bell
no ^at++++=no
bigger ^jjr+atrb+++=bigger'n
'n ^nn+++??+=EXTRAWORD
a ^at++++=a
wash ^nn++++=wash
kettle ^nn++++=kettle,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
powerful ^jj++++=powerful
sweet ^jj++++=sweet-toned.
- ^zz++++=EXTRAWORD
toned ^vprf+++xvbn+=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
rector ^nn++++=rector
wore ^vbd+++xvbn+=wore
a ^at++++=a
white ^jj+atrb+++=white
garment ^nn+nom+++=garment,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
risin ^nn+++??+=risin'
' ^zz++++=EXTRAWORD
and ^cc++++0=an'
settin ^nn+++??+=settin'
' ^zz++++=EXTRAWORD
down ^rp++++=down,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
speakin ^nn+++??+=speakin'
' ^zz++++=EXTRAWORD
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
answers ^nns+nom+++=answers
at ^in++++=at
proper ^jj+atrb+++=proper
places ^nns++++=places.
. ^zz++++=EXTRAWORD
Sonny ^nn++++=Sonny
took ^vbd+++xvbn+=took
to ^to+vcmp+++=to
it ^pp3+it+++=it
from ^in++++=from
the ^ati++++=the
first ^rb++++=first
minute ^nn++++=minute.
. ^zz++++=EXTRAWORD
Children ^nns++++=Children
like ^vb++++=like
to ^to+vcmp+++=to
know ^vbi+vprv+++=know
what ^wdt+who+++=what's
's ^vbz+bez+vrb++0=EXTRAWORD
comin ^nn+++??+=comin'
' ^zz++++=EXTRAWORD
next ^ap++++=next,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
expect ^vb+vprv+++=expect
to ^to+vcmp+++=to
oppose ^vbi++++=oppose
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
watched ^vbd+++xvbnx+=watched
Reverend ^npt++++=Reverend
Ambrose ^np++++=Ambrose
Vale ^npl++++=Vale
walk ^nn++++=walk
in ^in++++=in
behind ^in+pl+++=behind
the ^ati++++=the
choir ^nn++++=choir
boys ^nns++++=boys,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
he ^pp3a+pp3+++=he
whispered ^vbd+vpub++xvbnx+=whispered,
, ^zz++++=EXTRAWORD
loud ^jj++++=loud
enough ^qlp++++=enough
for ^in++++=for
the ^ati++++=the
front ^jjb+atrb+++=front
half ^nn++++=half
of ^in++++=of
the ^ati++++=the
congregation ^nn+nom+++=congregation
to ^to++++=to
hear ^vbi+vprv+++=hear:
: ^zz++++=EXTRAWORD
" ^zz++++="Is
is ^vbz+bez+vrb++=EXTRAWORD
thet ^nn+++??+=thet
man ^nn++++=man
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
to ^to++++=to
sleep ^vbi++++=sleep
in ^in++++=in
his ^pp$+pp3+++=his
gown ^nn++++=gown?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Marthy ^np+++??+=Marthy
hushed ^jj++++=hushed
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
rector ^npt++++=rector
heard ^vbd+vprv++xvbn+=heard.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
never ^rb++++=never
changed ^vbd+++xvbn+=changed
countenance ^nn+nom+++=countenance.
. ^zz++++=EXTRAWORD
That ^cs+sub+++=That
impressed ^vprf+++xvbn+=impressed
Sonny ^nn++++=Sonny.
. ^zz++++=EXTRAWORD
Most ^ap+emph+++=Most
grown ^vprf+++xvbn+=grown
people ^nns++++=people
change ^nn++++=change
countenance ^nn+nom+++=countenance
when ^wrb+who+++=when
Sonny ^nn++++=Sonny
speaks ^vbz++++=speaks
in ^rb++++=in
public ^rb"++++=public.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
organ ^nn++++=organ
started ^vbd+++xvbn+=started,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
he ^pp3a+pp3+++=he
set ^vbd+++xvbnx+=set
up ^rb+phrv+++=up
straight ^rb++++=straight.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
folks ^nns++++=folks
knelt ^vbd+++xvbn+=knelt,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
knelt ^vbd+++xvbnx+=knelt.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
they ^pp3a+pp3+++=they
stood ^vbd+++xvbnx+=stood,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
stood ^vbd+++xvbnx+=stood
on ^in++++=on
the ^ati++++=the
cushion ^nn++++=cushion
so ^ql++++=so
he ^pp3a+pp3+++=he
could ^md+pos+++=could
stand ^vb++++=stand
higher ^jjr++++=higher.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
they ^pp3a+pp3+++=they
answered ^vbd+vpub++xvbnx+=answered,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
answered ^vbd+vpub++xvbnx+=answered
too ^ql++++=too,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
not ^xnot++not++=not
always ^rb++++=always
the ^ati++++=the
same ^ap++++=same
words ^nns++++=words.
. ^zz++++=EXTRAWORD
And ^cc+cls+++0=An'
when ^wrb+who+++=when
the ^ati++++=the
rector ^npt++++=rector
come ^vprf+++xvbn+=come
down ^rp++++=down
near ^in+pl+++=near
the ^ati++++=the
chancel ^nn++++=chancel
rail ^nn++++=rail,
, ^zz++++=EXTRAWORD
Sonny ^nn++++=Sonny
says ^vbz+vpub+++=says:
: ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
choose ^vb++++=choose
this ^dt+dem+++=this
here ^rn+pl+++=here
kind ^nn++++=kind."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
no ^at++++=no
uncertainty ^nn++++=uncertainty
