Romance ^nn+nom+++=Romance
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
could ^md+pos+++=could
never ^rb++splt++=never
remember ^nn+nom+++=remember
whether ^cs+who+++=whether
pekoe ^nn+++??+=pekoe
was ^vbd+bedz+vrb++=was
a ^at++++=a
leaf ^nn++++=leaf
or ^cc++++=or
a ^at++++=a
province ^nn++++=province,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
declared ^vbd+vpub++xvbn+=declared
souchong ^nn+++??+=souchong
to ^to++++=to
be ^vbi++vrb++=be
an ^at++++=an
immoral ^jj+atrb+++=immoral
word ^nn++++=word.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
this ^dt+dem+++=this
he ^pp3a+pp3+++=he
became ^vbd+++xvbnx+=became
the ^ati++++=the
private ^jj+atrb+++=private
secretary ^nn+nom+++=secretary
of ^in++++=of
a ^at++++=a
member ^nn++++=member
of ^in++++=of
Parliament ^nn+nom+++=Parliament.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
employer ^nn+nom+++=employer
had ^vb+hv+vrb++=had
no ^at++++=no
secrets ^nns++++=secrets
and ^cc++++=and
Hughie ^np+++??+=Hughie
had ^vb+hv+vrb++=had
no ^at++++=no
industry ^nn++++=industry,
, ^zz++++=EXTRAWORD
so ^cs+sub+++=so
the ^ati++++=the
arrangement ^nn+nom+++=arrangement
soon ^rb+tm+++=soon
ended ^vpsv++by+xvbn+=ended
by ^in++++=by
mutual ^jj+atrb+++=mutual
relief ^nn++++=relief.
. ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last
he ^pp3a+pp3+++=he
decided ^vbd+vprv++xvbnx+=decided
to ^to+vcmp+++=to
live ^vbi++++=live
upon ^in++++=upon
his ^pp$+pp3+++=his
allowance ^nn+nom+++=allowance
and ^cc++++=and
his ^pp$+pp3+++=his
appearance ^nn+nom+++=appearance.
. ^zz++++=EXTRAWORD
The ^ati++++=The
allowance ^nn+nom+++=allowance
was ^vbd+bedz+vrb++=was
inadequate ^jj+pred+++=inadequate,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
appearance ^nn+nom+++=appearance
was ^vbd+bedz+aux++=was
universally ^rb++splt++=universally
admired ^vpsv++agls+xvbnx+=admired.
. ^zz++++=EXTRAWORD
Unfortunately ^rb+cnj+++=Unfortunately,
, ^zz++++=EXTRAWORD
Hughie ^np+++??+=Hughie
was ^vbd+bedz+vrb++=was
in ^in++++=in
love ^nn++++=love.
. ^zz++++=EXTRAWORD
The ^ati++++=The
lady ^nn++++=lady
was ^vbd+bedz+vrb++=was
Laura ^np++++=Laura
Merton ^np+++??+=Merton,
, ^zz++++=EXTRAWORD
the ^ati++++=the
daughter ^nn+nom+++=daughter
of ^in++++=of
Colonel ^npt++++=Colonel
Merton ^np+++??+=Merton,
, ^zz++++=EXTRAWORD
a ^at++++=a
retired ^jj+++xvbn+=retired
officer ^npt++++=officer
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
lost ^vprf+++xvbnx+=lost
his ^pp$+pp3+++=his
digestion ^nn+nom+++=digestion
in ^in++++=in
India ^np++++=India
and ^cc++++=and
his ^pp$+pp3+++=his
patience ^nn+nom+++=patience
in ^in++++=in
England ^np++++=England.
. ^zz++++=EXTRAWORD
Laura ^np++++=Laura
had ^vb+hv+vrb++=had
dark ^jj+atrb+++=dark
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
clear ^jj+atrb+++=clear
opinions ^nns++++=opinions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
sort ^nn++++=sort
of ^in++++=of
beauty ^nn++++=beauty
that ^tht+rel+subj++=that
makes ^vbz++++=makes
poverty ^nn++++=poverty
seem ^vb+seem+++=seem
poetic ^jj++++=poetic
at ^in++++=at
dinner ^nn++++=dinner
and ^cc++++=and
impossible ^jj++++=impossible
at ^in++++=at
breakfast ^nn++++=breakfast.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
loved ^vbd+++xvbnx+=loved
Hughie ^np+++??+=Hughie
with ^in++++=with
perfect ^jj+atrb+++=perfect
sincerity ^nn+nom+++=sincerity,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
rare ^jj+pred+++=rare;
; ^zz++++=EXTRAWORD
the ^ati++++=the
Colonel ^npt++++=Colonel
liked ^vbd+++xvbn+=liked
him ^pp3o+pp3+++=him
with ^in++++=with
severe ^jj+atrb+++=severe
reservations ^nns+nom+++=reservations,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
common ^jj+pred+++=common.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
may ^md+pos+++=may
marry ^vb++++=marry
Laura ^np++++=Laura,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
the ^ati++++=the
Colonel ^npt++++=Colonel
had ^vbd+hvd+aux++=had
said ^vprf+++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="when
when ^wrb+who+++=EXTRAWORD
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have
ten ^cd++++=ten
thousand ^cd++++=thousand
pounds ^nns++++=pounds
of ^in++++=of
your ^pp$+pp2+++=your
own ^ap++++=own.
. ^zz++++=EXTRAWORD
Come ^vprf+++xvbn+=Come
to ^in++++=to
me ^pp1o+pp1+++=me
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
listen ^vb++++=listen."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Could
could ^md+pos+++=EXTRAWORD
you ^pp2+pp2+++=you
not ^xnot++not++=not
listen ^vb++++=listen
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
Colonel ^npt++++=Colonel?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
can ^md+pos+++=can
hear ^vb+vprv+tht0++=hear
you ^pp2+pp2+++=you
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
Listening ^jj+++xvbg+=Listening
is ^vbz+bez+vrb++=is
another ^dt++++=another
matter ^nn++++=matter."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
the ^ati++++=the
engagement ^nn+nom+++=engagement
existed ^vbd+++xvbn+=existed
in ^in++++=in
every ^at++++=every
respect ^nn++++=respect
except ^in++++=except
the ^ati++++=the
one ^cd1++++=one
recognized ^vpsv++by+xvbn+=recognized
by ^in++++=by
fathers ^nns+nom+++=fathers
and ^cc++++=and
solicitors ^nns++++=solicitors.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
morning ^nn++++=morning
Hughie ^np+++??+=Hughie
went ^vbd+++xvbn+=went
to ^to++++=to
see ^vbi+vprv+tht0++=see
his ^pp$+pp3+++=his
friend ^nn++++=friend
Alan ^np++++=Alan
Trevor ^np++++=Trevor,
, ^zz++++=EXTRAWORD
the ^ati++++=the
painter ^nn++++=painter.
. ^zz++++=EXTRAWORD
Trevor ^np++++=Trevor
was ^vbd+bedz+vrb++=was
a ^at++++=a
rough ^jj++++=rough,
, ^zz++++=EXTRAWORD
red ^jj++++=red-bearded
- ^zz++++=EXTRAWORD
bearded ^jj+atrb+++=EXTRAWORD
man ^nn++++=man,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
freckled ^jj+atrb+++=freckled
face ^nn++++=face
and ^cc++++=and
hands ^nns++++=hands
perpetually ^rb++++=perpetually
stained ^vpsv++by+xvbn+=stained
by ^in++++=by
colours ^nns++++=colours
that ^tht+rel+obj++=that
Nature ^nn++++=Nature
had ^vb+hv+aux++=had
never ^rb++splt++=never
thought ^vprf+++xvbnx+=thought
of ^in++++=of
combining ^nn++++=combining.
. ^zz++++=EXTRAWORD
In ^in++++=In
society ^nn++++=society
he ^pp3a+pp3+++=he
looked ^vbd+++xvbnx+=looked
like ^in++++=like
a ^at++++=a
sailor ^nn++++=sailor
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
insulted ^vprf+++xvbnx+=insulted
a ^at++++=a
duchess ^nns+nom+++=duchess;
; ^zz++++=EXTRAWORD
in ^in++++=in
his ^pp$+pp3+++=his
studio ^nn++++=studio
he ^pp3a+pp3+++=he
became ^vbd+++xvbnx+=became
delicate ^jj++++=delicate,
, ^zz++++=EXTRAWORD
exact ^jj++++=exact,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
almost ^rb+hdg+++=almost
civilized ^jj++++=civilized.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
pictures ^nns++++=pictures
were ^vbd+bed+aux++=were
eagerly ^rb++splt++=eagerly
purchased ^vpsv++by+xvbnx+=purchased
by ^in++++=by
people ^nns++++=people
who ^whp+rel+subj++=who
did ^vbd+dod+aux++=did
not ^xnot++not++=not
understand ^vb+vprv+++=understand
them ^pp3o+pp3+++=them
and ^cc++++=and
passionately ^rb++++=passionately
discussed ^vpsv++by+xvbn+=discussed
by ^in++++=by
people ^nns++++=people
who ^whp+rel+subj++=who
could ^md+pos+++=could
not ^xnot++not++=not
purchase ^nn++++=purchase
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
fame ^nn++++=fame.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
Hughie ^np+++??+=Hughie
entered ^vbd+++xvbn+=entered,
, ^zz++++=EXTRAWORD
Trevor ^np++++=Trevor
was ^vbd+bedz+aux++=was
standing ^vbg+++xvbgx+=standing
before ^in++++=before
a ^at++++=a
large ^jj+atrb+++=large
canvas ^nn++++=canvas.
. ^zz++++=EXTRAWORD
On ^in++++=On
a ^at++++=a
raised ^jj+atrb++xvbn+=raised
platform ^nn++++=platform
in ^in++++=in
the ^ati++++=the
corner ^npl++++=corner
stood ^vbd+++xvbn+=stood
an ^at++++=an
old ^jj+atrb+++=old
beggar ^nn++++=beggar.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
singular ^jj+atrb+++=singular
figure ^nn++++=figure.
. ^zz++++=EXTRAWORD
A ^at++++=A
patched ^jj+atrb+++=patched
brown ^jj+atrb+++=brown
cloak ^nn++++=cloak
fell ^vbd+++xvbn+=fell
from ^in++++=from
his ^pp$+pp3+++=his
shoulders ^nns+nom+++=shoulders;
; ^zz++++=EXTRAWORD
one ^cd1++++=one
bare ^jj++++=bare
arm ^vb++++=arm
rested ^vbd+++xvbn+=rested
upon ^in++++=upon
a ^at++++=a
crooked ^jj+atrb+++=crooked
staff ^nn++++=staff;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
boots ^nns++++=boots
were ^vbd+bed+aux++=were
broken ^vpsv++agls+xvbnx+=broken,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
beard ^nn++++=beard
silver ^nn++++=silver-grey,
- ^zz++++=EXTRAWORD
grey ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
face ^nn++++=face
had ^vb+hv+vrb++=had
the ^ati++++=the
dry ^jj++++=dry,
, ^zz++++=EXTRAWORD
folded ^j+++xvbn+=folded
look ^vb++++=look
of ^in++++=of
a ^at++++=a
letter ^nn++++=letter
that ^tht+rel+subj++=that
has ^vbz+hvz+aux++=has
travelled ^vprf+++xvbnx+=travelled
through ^in++++=through
many ^ap++++=many
countries ^nns++++=countries
and ^cc++++=and
brought ^vbd+++xvbn+=brought
bad ^jj+atrb+++=bad
news ^nn++++=news
from ^in++++=from
each ^dt++++=each.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
him ^pp3o+pp3+++=him
lay ^vbd+++xvbn+=lay
a ^at++++=a
battered ^jj+atrb++xvbn+=battered
hat ^nn++++=hat,
, ^zz++++=EXTRAWORD
turned ^j+++xvbn+=turned
upward ^jjb++++=upward
with ^in++++=with
professional ^jj++++=professional
melancholy ^jj++++=melancholy.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
an ^at++++=an
extraordinary ^jj+atrb+++=extraordinary
model ^nn++++=model!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
Hughie ^np+++??+=Hughie.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
masterpiece ^nn++++=masterpiece,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Trevor ^np++++=Trevor,
, ^zz++++=EXTRAWORD
without ^in++++=without
looking ^nn++++=looking
round ^in+strn+++=round.
. ^zz++++=EXTRAWORD
" ^zz++++="Vel
vel ^np++++=EXTRAWORD
zquez ^nn+++??+=zquez
would ^md+prd+++=would
have ^vb+hv+aux++=have
crossed ^vprf+++xvbnx+=crossed
Spain ^np++++=Spain
for ^in++++=for
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Rembrandt ^np++++=Rembrandt
would ^md+prd+++=would
have ^vb+hv+aux++=have
pawned ^vprf+++xvbnx+=pawned
his ^pp$+pp3+++=his
furniture ^nn++++=furniture."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
poor ^jj++++=poor
old ^jj++++=old
fellow ^jjb++++=fellow,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
murmured ^vbd+++xvbn+=murmured
Hughie ^np+++??+=Hughie.
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
miserable ^jj++++=miserable
he ^pp3a+pp3+++=he
looks ^nns++++=looks."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Naturally.
naturally ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
pay ^nn++++=pay
him ^pp3o+pp3+++=him
to ^to++++=to
look ^vbi++++=look
miserable ^jj++++=miserable.
. ^zz++++=EXTRAWORD
Cheerful ^jj+atrb+++=Cheerful
beggars ^nns++++=beggars
are ^vb+ber+vrb++=are
fatal ^jj+pred+++=fatal
to ^in++++=to
art ^nn++++=art."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
pay ^nn++++=pay
him ^pp3o+pp3+++=him?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
shilling ^nn+nom+++=shilling
an ^at++++=an
hour ^nn++++=hour."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc+cls+++=EXTRAWORD
what ^wdt+who+++=what
will ^md+prd+++=will
you ^pp2+pp2+++=you
get ^vb++++=get
for ^in++++=for
the ^ati++++=the
picture ^nn++++=picture?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Two
two ^cd++++=EXTRAWORD
thousand ^cd++++=thousand
guineas ^nns++++=guineas,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
the ^ati++++=the
purchaser ^nn+nom+++=purchaser
has ^vbz+hvz+vrb++=has
taste ^nn++++=taste;
; ^zz++++=EXTRAWORD
three ^cd++++=three
thousand ^cd++++=thousand,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
has ^vbz+hvz+vrb++=has
merely ^rb+down+++=merely
a ^at++++=a
drawing ^jj+++xvbg+=drawing-room."
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Hughie ^np+++??+=Hughie
frowned ^vbd+++xvbn+=frowned.
. ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
he ^pp3a+pp3+++=he
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
receive ^vb++++=receive
a ^at++++=a
percentage ^nn+nom+++=percentage."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
dear ^jj+atrb+++=dear
Hughie ^np+++??+=Hughie,
, ^zz++++=EXTRAWORD
the ^ati++++=the
business ^nns+nom+++=business
of ^in++++=of
the ^ati++++=the
model ^nn++++=model
is ^vbz+bez+aux++=is
to ^to++++=to
provide ^vbi+vsua+++=provide
lines ^nns++++=lines,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
accounts ^nns++++=accounts.
. ^zz++++=EXTRAWORD
Besides ^rb++++=Besides,
, ^zz++++=EXTRAWORD
anguish ^nn++++=anguish
cannot ^md+pos+not++=cannot
be ^vb+be+aux++=be
painted ^vpsv++by+xvbnx+=painted
by ^in++++=by
the ^ati++++=the
yard ^nn++++=yard.
. ^zz++++=EXTRAWORD
Art ^nn++++=Art
has ^vbz+hvz+vrb++=has
its ^pp$+it+++=its
privileges ^nns++++=privileges."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="So
so ^ql++++=EXTRAWORD
has ^vbz+hvz+vrb++=has
hunger ^nn++++=hunger."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Hunger,"
hunger ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
Trevor ^np++++=Trevor,
, ^zz++++=EXTRAWORD
stepping ^vbg+++xvbg+=stepping
back ^jjb++++=back
from ^in++++=from
the ^ati++++=the
canvas ^nn++++=canvas,
, ^zz++++=EXTRAWORD
" ^zz++++="is
is ^vbz+bez+vrb++=EXTRAWORD
extremely ^rb+amp+++=extremely
picturesque ^jj+pred+++=picturesque
at ^in++++=at
a ^at++++=a
proper ^jj+atrb+++=proper
distance ^nn+nom+++=distance."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
At ^rb++++=At
that ^dt+dem+++=that
moment ^nn++++=moment
a ^at++++=a
servant ^nn+nom+++=servant
entered ^vbd+++xvbn+=entered
and ^cc+phrs+++=and
whispered ^vbd+vpub++xvbn+=whispered
that ^tht+vcmp+++=that
a ^at++++=a
frame ^nn++++=frame-maker
- ^zz++++=EXTRAWORD
maker ^nn++++=EXTRAWORD
wished ^vbd+vprv++xvbn+=wished
to ^to+vcmp+++=to
speak ^vbi++++=speak
with ^in++++=with
Trevor ^np++++=Trevor.
. ^zz++++=EXTRAWORD
Painters ^nns+nom+++=Painters
are ^vb+ber+aux++=are
always ^rb++splt++=always
disputing ^vbg+++xvbgx+=disputing
with ^in++++=with
frame ^nn++++=frame-makers.
- ^zz++++=EXTRAWORD
makers ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
artist ^nn++++=artist
believes ^vbz+vprv+tht0++=believes
the ^ati++++=the
frame ^nn++++=frame
exists ^vbz++++=exists
for ^in++++=for
the ^ati++++=the
picture ^nn++++=picture;
; ^zz++++=EXTRAWORD
the ^ati++++=the
frame ^nn++++=frame-maker
- ^zz++++=EXTRAWORD
maker ^nn++++=EXTRAWORD
knows ^vbz+vprv+++=knows
that ^tht+vcmp+++=that
the ^ati++++=the
picture ^nn++++=picture
exists ^vbz++++=exists
for ^in++++=for
the ^ati++++=the
bill ^nn++++=bill.
. ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
not ^xnot++not++=not
corrupt ^vb++++=corrupt
my ^pp$+pp1+++=my
model ^nn++++=model
while ^cs+sub+++=while
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
gone ^vpsv++agls+xvbnx+=gone,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Trevor ^np++++=Trevor.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
has ^vbz+hvz+vrb++=has
the ^ati++++=the
most ^ql+emph+++=most
valuable ^jj+atrb+++=valuable
sorrow ^nn++++=sorrow
in ^in++++=in
London ^np++++=London."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
vanished ^vbd+++xvbnx+=vanished
through ^in++++=through
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
The ^ati++++=The
old ^jj+atrb+++=old
man ^nn++++=man
remained ^vbd+++xvbn+=remained
motionless ^jj++++=motionless,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
rested ^vbd+++xvbn+=rested
upon ^in++++=upon
Hughie ^np+++??+=Hughie
with ^in++++=with
a ^at++++=a
curious ^jj+atrb+++=curious
brightness ^nns+nom+++=brightness.
. ^zz++++=EXTRAWORD
Hughie ^np+++??+=Hughie
felt ^vbd+vprv++xvbn+=felt
in ^in++++=in
his ^pp$+pp3+++=his
pockets ^nns++++=pockets.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
found ^vbd+vprv++xvbnx+=found
a ^at++++=a
sovereign ^nn++++=sovereign
and ^cc++++=and
a ^ap++++=a
few ^ap"++++=few
coppers ^nns+nom+++=coppers.
. ^zz++++=EXTRAWORD
The ^ati++++=The
