# ^zz++++=#
Two ^cd++++=TWO
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
human ^jj+atrb+++=human
folly ^nn++++=folly,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
knitting ^vbg+++xvbgx+=knitting
a ^at++++=a
gray ^np++++=gray
stocking ^nn++++=stocking.
. ^zz++++=EXTRAWORD
Grace ^nn++++=Grace,
, ^zz++++=EXTRAWORD
aged ^jj++++=aged
eight ^cd++++=eight,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
winding ^vbg+++xvbgx+=winding
yarn ^nn++++=yarn.
. ^zz++++=EXTRAWORD
Dick ^np++++=Dick,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
eleven ^cd++++=eleven
and ^cc+cls+++=and
therefore ^rb+cnj+++=therefore
considered ^vbd+vprv++xvbn+=considered
himself ^ppl+pp3+++=himself
virtually ^rb+down+++=virtually
ready ^jj++++=ready
for ^in++++=for
the ^ati++++=the
command ^nn++++=command
of ^in++++=of
troops ^nns++++=troops,
, ^zz++++=EXTRAWORD
sat ^jj+atrb++xvbn+=sat
astride ^nn+++??+=astride
a ^at++++=a
wooden ^jj+atrb+++=wooden
stool ^nn++++=stool,
, ^zz++++=EXTRAWORD
cutting ^nvbg+++xvbg+=cutting
paper ^nn++++=paper
soldiers ^nns+nom+++=soldiers
out ^rp+pl+++=out
of ^in++++=of
an ^at++++=an
old ^jj+atrb+++=old
almanac ^nn+++??+=almanac.
. ^zz++++=EXTRAWORD
Little ^ap++++=Little
Ben ^np++++=Ben
gathered ^vbd+++xvbn+=gathered
chips ^nns++++=chips
from ^in++++=from
the ^ati++++=the
wood ^nn++++=wood
box ^nn++++=box
to ^in++++=to
the ^ati++++=the
hearth ^nn++++=hearth
a ^at++++=a
wholesome ^jj+atrb+++=wholesome
and ^cc+phrs+++=and
gracious ^jj+atrb+++=gracious
employment ^nn+nom+++=employment
much ^ap++++=much
recommended ^jj+++xvbn+=recommended
to ^in++++=to
children ^nns++++=children
in ^in++++=in
those ^dt+dem+++=those
days ^nns++++=days,
, ^zz++++=EXTRAWORD
chiefly ^rb++++=chiefly
because ^cs+cos+++=because
the ^ati++++=the
chips ^nns++++=chips
were ^vbd+bed+aux++=were
wanted ^vpsv++agls+xvbnx+=wanted
and ^cc++++=and
the ^ati++++=the
children ^nns++++=children
could ^md+pos+++=could
be ^vb+be+aux++=be
caught ^vpsv++agls+xvbnx+=caught.
. ^zz++++=EXTRAWORD
" ^zz++++="Now,
now ^rn+tm+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Ben ^np++++=Ben,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Aunt ^nn++++=Aunt
Hitty ^np+++??+=Hitty,
, ^zz++++=EXTRAWORD
without ^in++++=without
looking ^xvbg+++xvbg+=looking
at ^rb++++=at
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
" ^zz++++="if
if ^cs+cnd+++=EXTRAWORD
you ^pp2+pp2+++=you
put ^vbd+++xvbn+=put
another ^dt++++=another
chip ^nn++++=chip
in ^cs+sub+++=in
that ^cs"++++=that
kettle ^nn++++=kettle
instead ^rb+cnj+++=instead
of ^in++++=of
the ^ati++++=the
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
conclude ^vb+vprv+tht0++=conclude
you ^pp2+pp2+++=you're
're ^vb+ber+aux++0=EXTRAWORD
enlisted ^vpsv++agls+xvbnx+=enlisted
on ^in++++=on
the ^ati++++=the
British ^jj+atrb+++=British
side ^nn++++=side."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
ai ^vb+be+++=ain't,"
n't ^xnot++not++0=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Ben ^np++++=Ben.
. ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+vrb++0=EXTRAWORD
Continental ^jj+pred+++=Continental."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You're
you ^pp2+pp2+++=EXTRAWORD
're ^vb+ber+vrb++0=EXTRAWORD
contrary ^nn+nom+++=contrary,
, ^zz++++=EXTRAWORD
anyhow ^rb+dspt+++=anyhow."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Is
is ^vbz+bez+vrb++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
same ^ap++++=same?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Near
near ^in+pl+++=EXTRAWORD
enough ^qlp++++=enough
for ^in++++=for
family ^nn++++=family
purposes ^nns++++=purposes."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Dick ^np++++=Dick
brandished ^vbd+++xvbn+=brandished
a ^at++++=a
paper ^nn++++=paper
general ^jj++++=general.
. ^zz++++=EXTRAWORD
" ^zz++++="When
when ^wrb+who+++=EXTRAWORD
I ^pp1a+pp1+++=I
get ^vb++++=get
to ^to+vcmp+++=to
the ^ati++++=the
army ^nn++++=army,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
shall ^md+prd+++=shall
ride ^vb++++=ride
a ^at++++=a
black ^jj+atrb+++=black
horse ^nn++++=horse,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
General ^jj+atrb+++=General
Washington ^np++++=Washington'll
'll ^md+prd+++0=EXTRAWORD
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
' ^zz++++='Colonel
colonel ^npt++++=EXTRAWORD
Ward ^nn++++=Ward,
, ^zz++++=EXTRAWORD
take ^vb++++=take
them ^pp3o+pp3+++=them
redcoats ^nns++++=redcoats
on ^in++++=on
the ^ati++++=the
left ^vwbn+++xvbn+=left!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
' ^zz++++='Leave
leave ^vb++++=EXTRAWORD
them ^pp3o+pp3+++0='em
to ^in++++=to
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
and ^cc++++=and
whack ^nn++++=whack!
! ^zz++++=EXTRAWORD
" ^zz++++="
His ^pp$+pp3+++=His
gesture ^nn++++=gesture
swept ^vwbn+++xvbn+=swept
three ^cd++++=three
paper ^nn++++=paper
soldiers ^nns+nom+++=soldiers,
, ^zz++++=EXTRAWORD
the ^ati++++=the
pincushion ^nn+++??+=pincushion,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Aunt ^nn++++=Aunt
Hitty ^np++++=Hitty's
's ^$++++=EXTRAWORD
ball ^nn++++=ball
of ^in++++=of
yarn ^nn++++=yarn
to ^in++++=to
the ^ati++++=the
floor ^nn++++=floor.
. ^zz++++=EXTRAWORD
" ^zz++++="Colonel
colonel ^npt++++=EXTRAWORD
Ward ^nn++++=Ward,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Aunt ^nn++++=Aunt
Hitty ^np+++??+=Hitty,
, ^zz++++=EXTRAWORD
" ^zz++++="will
will ^md+prd+++=EXTRAWORD
kindly ^rb++splt++=kindly
conquer ^vb++++=conquer
under ^in++++=under
the ^ati++++=the
table ^nn++++=table
until ^cs+sub+++=until
my ^pp$+pp1+++=my
yarn ^nn++++=yarn
is ^vbz+bez+aux++=is
recovered ^vpsv++agls+xvbnx+=recovered."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Grace ^nn++++=Grace
laughed ^vbd+++xvbn+=laughed.
. ^zz++++=EXTRAWORD
Ben ^np++++=Ben
shouted ^vbd+vpub++xvbn+=shouted,
, ^zz++++=EXTRAWORD
" ^zz++++="Whack!"
whack ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
overturned ^jj+++xvbn+=overturned
the ^ati++++=the
chip ^nn++++=chip
basket ^nn++++=basket.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Ward ^np++++=Ward
smiled ^vbd+++xvbn+=smiled,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
only ^rb+down+++=only
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
needle ^nn++++=needle
had ^vbd+hvd+aux++=had
stopped ^vprf+++xvbnx+=stopped
in ^in++++=in
the ^ati++++=the
cloth ^nn++++=cloth.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
sound ^jj++++=sound
at ^rb++++=at
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
face ^nn++++=face
turned ^vbd+++xvbn+=turned.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
Captain ^npt++++=Captain
Ward ^nn++++=Ward.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
only ^rb+down+++=only
Nathan ^np++++=Nathan
Pike ^nn++++=Pike,
, ^zz++++=EXTRAWORD
the ^ati++++=the
post ^nn++++=post
rider ^nn++++=rider,
, ^zz++++=EXTRAWORD
white ^jj++++=white
with ^in++++=with
snow ^nn++++=snow
and ^cc++++=and
carrying ^vbg+++xvbg+=carrying
a ^at++++=a
leather ^nn++++=leather
pouch ^nn+++??+=pouch
beneath ^rb++++=beneath
his ^pp$+pp3+++=his
coat ^nn++++=coat.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
heart ^nn++++=heart
does ^vbz+doz+aux++=does
not ^xnot++not++=not
always ^rb++++=always
distinguish ^vb++++=distinguish,
, ^zz++++=EXTRAWORD
in ^in++++=in
its ^pp$+it+++=its
first ^od++++=first
leap ^vb++++=leap,
, ^zz++++=EXTRAWORD
between ^in++++=between
hope ^nn++++=hope
and ^cc++++=and
certainty ^nn++++=certainty.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Ward ^np++++=Ward
rose ^vbd+++xvbn+=rose
so ^ql++++=so
quickly ^rb++++=quickly
that ^cs+sub+++=that
her ^pp3o+pp3+++=her
chair ^nn++++=chair
fell ^vbd+++xvbn+=fell
backward ^jj++++=backward.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
letter ^nn++++=letter?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
Nathan ^np++++=Nathan
removed ^vwbn+++xvbn+=removed
his ^pp$+pp3+++=his
hat ^nn++++=hat.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
letter ^nn++++=letter,
, ^zz++++=EXTRAWORD
ma ^npt++++=ma'am.
'am. ^nn+++??+=EXTRAWORD
From ^in++++=From
the ^ati++++=the
captain ^nn++++=captain."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
letters ^nns+nom+++=letters
which ^whp+rel+subj++=which
are ^vb+ber+vrb++=are
merely ^rb+down+++=merely
paper ^nn++++=paper
and ^cc++++=and
ink ^nn++++=ink;
; ^zz++++=EXTRAWORD
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
letters ^nns+nom+++=letters
which ^whp+rel+subj++=which
are ^vb+ber+vrb++=are
doors ^nns++++=doors,
, ^zz++++=EXTRAWORD
opened ^j+++xvbn+=opened
suddenly ^rb++++=suddenly
upon ^in++++=upon
fields ^nns++++=fields
of ^in++++=of
blood ^nn++++=blood,
, ^zz++++=EXTRAWORD
prison ^nn++++=prison
rooms ^nns++++=rooms,
, ^zz++++=EXTRAWORD
fever ^nn++++=fever
beds ^nns++++=beds,
, ^zz++++=EXTRAWORD
oceans ^nns++++=oceans,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
graves ^nns++++=graves.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Ward ^np++++=Ward
took ^vbd+++xvbn+=took
this ^dt+dem+++=this
one ^pn++++=one
with ^in++++=with
both ^abx++++=both
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
" ^zz++++="Sit
sit ^vb++++=EXTRAWORD
down ^rb+cnj+++=down,
, ^zz++++=EXTRAWORD
Nathan ^np++++=Nathan,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Aunt ^nn++++=Aunt
Hitty ^np+++??+=Hitty,
, ^zz++++=EXTRAWORD
bustling ^jj++++=bustling
toward ^in++++=toward
the ^ati++++=the
fire ^nn++++=fire.
. ^zz++++=EXTRAWORD
" ^zz++++="You're
you ^pp2+pp2+++=EXTRAWORD
're ^vb+ber+aux++0=EXTRAWORD
froze ^vpsv++agls+xvbnx+=froze
to ^in++++=to
the ^ati++++=the
backbone ^nn++++=backbone.
. ^zz++++=EXTRAWORD
Dick ^np++++=Dick,
, ^zz++++=EXTRAWORD
hang ^nn++++=hang
up ^rp++++=up
his ^pp$+pp3+++=his
coat ^nn++++=coat.
. ^zz++++=EXTRAWORD
Grace ^nn++++=Grace,
, ^zz++++=EXTRAWORD
fetch ^vb++++=fetch
the ^ati++++=the
mug ^nn++++=mug.
. ^zz++++=EXTRAWORD
Ben ^np++++=Ben,
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
fetch ^vb++++=fetch
anything ^pn++++=anything.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
talents ^nns++++=talents
air ^nn++++=air
of ^in++++=of
another ^dt++++=another
order ^to++++=order."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
But ^cc++++=But
Nathan ^np++++=Nathan
shook ^vbd+++xvbn+=shook
his ^pp$+pp3+++=his
head ^nn++++=head.
. ^zz++++=EXTRAWORD
Other ^ap++++=Other
houses ^nns++++=houses
waited ^vbd+++xvbn+=waited;
; ^zz++++=EXTRAWORD
other ^ap++++=other
mothers ^nns+nom+++=mothers,
, ^zz++++=EXTRAWORD
wives ^nns++++=wives,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
children ^nns++++=children
had ^vbd+hvd+aux++=had
seen ^vprf++tht0+xvbnx+=seen
him ^pp3o+pp3+++=him
pass ^vb++++=pass
along ^in++++=along
the ^ati++++=the
road ^nn++++=road.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
drank ^vbd+++xvbnx+=drank
the ^ati++++=the
hot ^jj+atrb+++=hot
cider ^nn++++=cider
standing ^vwbg+++xvbg+=standing,
, ^zz++++=EXTRAWORD
bowed ^j+++xvbn+=bowed
awkwardly ^rb+cnj+++=awkwardly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
went ^vbd+++xvbn+=went
again ^rb+tm+++=again
into ^in++++=into
the ^ati++++=the
bitter ^jj+atrb+++=bitter
dusk ^nn++++=dusk.
. ^zz++++=EXTRAWORD
The ^ati++++=The
family ^nn++++=family
gathered ^vbd+++xvbn+=gathered
close ^jj++++=close
while ^cs+sub+++=while
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Ward ^np++++=Ward
broke ^vbd+++xvbn+=broke
the ^ati++++=the
seal ^nn++++=seal.
. ^zz++++=EXTRAWORD
The ^ati++++=The
letter ^nn++++=letter
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
carried ^vpsv++agls+xvbnx+=carried
many ^ap++++=many
miles ^nns++++=miles,
, ^zz++++=EXTRAWORD
folded ^j+++xvbn+=folded
and ^cc+phrs+++=and
refolded ^jj+++xvbn+=refolded,
, ^zz++++=EXTRAWORD
guarded ^j+++xvbn+=guarded
from ^in++++=from
rain ^nn++++=rain
beneath ^in+pl+++=beneath
a ^at++++=a
