# ^zz++++=##
# ^zz++++=EXTRAWORD
Two ^cd++++=TWO
was ^vbd+bedz+vrb++=was
spacious ^jj+pred+++=spacious
and ^cc++++=and
richly ^rb++++=richly
furnished ^jj+++xvbn+=furnished.
. ^zz++++=EXTRAWORD
Heavy ^jj+atrb+++=Heavy
curtains ^nns++++=curtains,
, ^zz++++=EXTRAWORD
of ^in++++=of
a ^at++++=a
soft ^jj+atrb+++=soft
crimson ^nn+++??+=crimson
colour ^nn++++=colour,
, ^zz++++=EXTRAWORD
fell ^j+++xvbn+=fell
from ^in++++=from
the ^ati++++=the
ceiling ^nn+nom+++=ceiling
to ^in++++=to
the ^ati++++=the
floor ^nn++++=floor;
; ^zz++++=EXTRAWORD
the ^ati++++=the
carpet ^nn++++=carpet
yielded ^vbd+++xvbn+=yielded
noiselessly ^rb++++=noiselessly
beneath ^in+pl+++=beneath
the ^ati++++=the
foot ^nn++++=foot;
; ^zz++++=EXTRAWORD
a ^at++++=a
fire ^nn++++=fire
burned ^vbd+++xvbn+=burned
without ^in++++=without
smoke ^nn++++=smoke
upon ^in++++=upon
the ^ati++++=the
marble ^nn++++=marble
hearth ^nn++++=hearth;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
near ^in+pl+++=near
it ^pp3+it+++=it
stood ^vbd+++xvbn+=stood
a ^at++++=a
couch ^nn++++=couch
so ^rb++++=so
skilfully ^rb++++=skilfully
contrived ^vprf+++xvbn+=contrived
that ^dt+dem+++=that
the ^ati++++=the
weakest ^jjt+atrb+++=weakest
frame ^nn++++=frame
might ^md+pos+++=might
rest ^vb++++=rest
upon ^in++++=upon
it ^pp3+it+++=it
without ^in++++=without
weariness ^nns+nom+++=weariness.
. ^zz++++=EXTRAWORD
Books ^nns++++=Books,
, ^zz++++=EXTRAWORD
flowers ^nns+nom+++=flowers,
, ^zz++++=EXTRAWORD
costly ^jj+atrb+++=costly
essences ^nns+nom+++=essences,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
every ^at++++=every
delicate ^jj+atrb+++=delicate
provision ^nn++++=provision
which ^whp+rel+obj++=which
affection ^nn+nom+++=affection
or ^cc++++=or
wealth ^nn++++=wealth
could ^md+pos+++=could
obtain ^vb++++=obtain
were ^vbd+bed+aux++=were
placed ^vpsv++agls+xvbnx+=placed
within ^in++++=within
reach ^nn++++=reach.
. ^zz++++=EXTRAWORD
Upon ^in++++=Upon
the ^ati++++=the
couch ^nn++++=couch
reclined ^vbd+++xvbn+=reclined
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Harcourt ^np++++=Harcourt.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+aux++=had
long ^rb++splt++=long
been ^vprf+ben+vrb+xvbnx+=been
an ^at++++=an
invalid ^nn++++=invalid.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
face ^nn++++=face,
, ^zz++++=EXTRAWORD
once ^rb+tm+++=once
handsome ^jj++++=handsome,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
pale ^nn++++=pale
and ^cc++++=and
wasted ^vbd+++xvbn+=wasted;
; ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
hands ^nns++++=hands
trembled ^vbd+++xvbn+=trembled;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
real ^jj++++=real,
, ^zz++++=EXTRAWORD
unfrequently ^jj++++=unfrequently
severe ^jj++++=severe,
, ^zz++++=EXTRAWORD
pain ^nn++++=pain
oppressed ^jj++++=oppressed
her ^pp$+pp3+++=her
side ^nn++++=side.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
would ^md+prd+++=would
not ^xnot++not++=not
speak ^vb++++=speak
lightly ^rb++++=lightly
of ^in++++=of
that ^dt+dem+++=that
pain ^nn++++=pain.
. ^zz++++=EXTRAWORD
God ^np++++=God
alone ^rb++++=alone
knows ^vbz+vprv+++=knows
the ^ati++++=the
long ^jj+atrb+++=long
hours ^nns++++=hours
which ^whp+rel+obj++=which
the ^ati++++=the
sick ^jj++++=sick
are ^vb+ber+aux++=are
sometimes ^rb++splt++=sometimes
called ^vpsv++agls+xvbnx+=called
to ^to++++=to
endure ^vbi++++=endure,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
household ^nn++++=household
sleeps ^vbz++++=sleeps
and ^cc++++=and
darkness ^nns+nom+++=darkness
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
stand ^vbi++++=stand
still ^jj+pred+++=still.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Harcourt ^np++++=Harcourt
had ^vb+hv+vrb++=had
another ^dt++++=another
malady ^nn++++=malady,
, ^zz++++=EXTRAWORD
more ^rbr++++=more
grievous ^jj++++=grievous
than ^in++++=than
the ^ati++++=the
weakness ^nns+nom+++=weakness
of ^in++++=of
her ^pp$+pp3+++=her
body ^nn++++=body.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
thoughts ^nns++++=thoughts,
, ^zz++++=EXTRAWORD
like ^in++++=like
blood ^nn++++=blood
that ^tht+rel+subj++=that
ceases ^vbz++++=ceases
to ^to++++=to
circulate ^nn+nom+++=circulate
and ^cc+phrs+++=and
gathers ^nns+nom+++=gathers
dangerously ^rb++++=dangerously
about ^in++++=about
the ^ati++++=the
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
flowed ^j+++xvbn+=flowed
ever ^rb++++=ever
inward ^jjb++++=inward
upon ^in++++=upon
herself ^ppl+pp3+++=herself.
. ^zz++++=EXTRAWORD
A ^rb++++=A
little ^rb"++++=little
boy ^nn++++=boy,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
five ^cd++++=five
years ^nns++++=years
of ^in++++=of
age ^nn++++=age,
, ^zz++++=EXTRAWORD
stole ^j+++xvbn+=stole
into ^in++++=into
the ^ati++++=the
chamber ^nn++++=chamber.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
carried ^vbd+++xvbnx+=carried
a ^at++++=a
wooden ^jj+atrb+++=wooden
horse ^nn++++=horse,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
scarlet ^jj+atrb+++=scarlet
saddle ^nn++++=saddle
was ^vbd+bedz+vrb++=was
somewhat ^rb+down+++=somewhat
the ^ati++++=the
worse ^nn++++=worse
for ^in++++=for
wear ^nn++++=wear.
. ^zz++++=EXTRAWORD
" ^zz++++="Mamma,"
mamma ^npt++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
whispered ^vbd+vpub++xvbnx+=whispered,
, ^zz++++=EXTRAWORD
" ^zz++++="may
may ^md+pos+++=EXTRAWORD
Harry ^vb++++=Harry
sit ^vb++++=sit
by ^in++++=by
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
Harry ^np++++=Harry
will ^md+prd+++=will
be ^vb+be+vrb++=be
very ^ql+amp+++=very
still ^rb++++=still."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
mother ^npt++++=mother
opened ^vbd+++xvbn+=opened
her ^pp$+pp3+++=her
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
" ^zz++++="Who
who ^whp+who+++=EXTRAWORD
let ^vb+++xvbn+=let
that ^dt+dem+++=that
child ^nn++++=child
come ^vb++++=come
in ^in+strn+++=in?
? ^zz++++=EXTRAWORD
Nurse ^nn++++=Nurse
knows ^vbz+vprv+++=knows
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
cannot ^md+pos+not++=cannot
bear ^vb++++=bear
him ^pp3o+pp3+++=him
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
will ^md+prd+++=will
not ^xnot++not++=not
make ^vb++++=make
a ^at++++=a
noise ^nn++++=noise,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Harry ^np++++=Harry,
, ^zz++++=EXTRAWORD
stopping ^vbg+++xvbg+=stopping
at ^rb++++=at
once ^rb"+tm+++=once.
. ^zz++++=EXTRAWORD
" ^zz++++="See,
see ^vb+vprv+++=EXTRAWORD
, ^zz++++=EXTRAWORD
mamma ^npt++++=mamma,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
horse ^nn++++=horse's
's ^$++++=EXTRAWORD
leg ^nn++++=leg
is ^vbz+bez+aux++=is
broken ^vpsv++agls+xvbnx+=broken.
. ^zz++++=EXTRAWORD
Papa ^npt++++=Papa
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I
tried ^vbd+++xvbnx+=tried
to ^to+vcmp+++=to
mend ^vbi++++=mend
it ^pp3+it+++=it
very ^ql+amp+++=very
cleverly ^rb++++=cleverly."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
not ^xnot++not++=not
bring ^vb++++=bring
broken ^xvbn+++xvbn+=broken
toys ^nns++++=toys
here ^rn+pl+++=here.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
distress ^nns+nom+++=distress
me ^pp1o+pp1+++=me
beyond ^in++++=beyond
measure ^nn++++=measure.
. ^zz++++=EXTRAWORD
Go ^vb++++=Go
away ^rp+pl+++=away
go ^vb++++=go
directly ^rb++++=directly!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
child ^nn++++=child's
's ^$++++=EXTRAWORD
lip ^nn++++=lip
quivered ^vbd+++xvbn+=quivered.
. ^zz++++=EXTRAWORD
" ^zz++++="May
may ^md+pos+++=EXTRAWORD
I ^pp1a+pp1+++=I
kiss ^vb++++=kiss
you ^pp2+pp2+++=you
first ^rb++++=first?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No.
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
hands ^nns++++=hands
are ^vb+ber+vrb++=are
cold ^jj+pred+++=cold.
. ^zz++++=EXTRAWORD
Ring ^nn++++=Ring
for ^in++++=for
nurse ^nn++++=nurse,
, ^zz++++=EXTRAWORD
some ^dti++++=some
one ^pn++++=one.
. ^zz++++=EXTRAWORD
Why ^wrb+who+whq++=Why
am ^vb+bem+vrb++=am
I ^pp1a+pp1+++=I
never ^rb++++=never
obeyed ^vbd+++xvbn+=obeyed?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Harry ^np++++=Harry
went ^vbd+++xvbn+=went
out ^rp+pl+++=out
as ^in++++=as
silently ^rb++++=silently
as ^ql++++=as
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
entered ^vprf+++xvbnx+=entered;
; ^zz++++=EXTRAWORD
yet ^rb+cnj+++=yet,
, ^zz++++=EXTRAWORD
in ^in++++=in
closing ^xvbg+++xvbg+=closing
the ^ati++++=the
door ^nn++++=door,
, ^zz++++=EXTRAWORD
the ^ati++++=the
latch ^nn++++=latch
clicked ^vbd+++xvbn+=clicked.
. ^zz++++=EXTRAWORD
" ^zz++++="There!"
there ^rn+pl+++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
exclaimed ^vbd+++xvbn+=exclaimed
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Harcourt ^np++++=Harcourt.
. ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+dem+++=EXTRAWORD
noise ^nn++++=noise
has ^vbz+hvz+aux++=has
gone ^vprf+++xvbnx+=gone
through ^in++++=through
my ^pp$+pp1+++=my
head ^nn++++=head.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
feel ^vb+vprv+tht0++=feel
it ^pp3+it+++=it
all ^abn++++=all
day ^nn++++=day."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Was ^vbd+bedz+vrb++=Was
the ^ati++++=the
click ^nn++++=click
so ^ql+emph+++=so
violent ^jj++++=violent?
? ^zz++++=EXTRAWORD
No ^at++++=No.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
ear ^nn++++=ear
that ^tht+rel+subj++=that
listens ^vbz++++=listens
continually ^rb++++=continually
for ^in++++=for
annoyance ^nn+nom+++=annoyance
will ^md+prd+++=will
hear ^vb+vprv+++=hear
thunder ^nn++++=thunder
in ^in++++=in
the ^ati++++=the
falling ^jj+++xvbg+=falling
of ^in++++=of
a ^at++++=a
pin ^nn++++=pin.
. ^zz++++=EXTRAWORD
Presently ^rb+tm+++=Presently
two ^cd++++=two
young ^jj+atrb+++=young
girls ^nns++++=girls
came ^vbd+++xvbn+=came
bounding ^nvbg+++xvbg+=bounding
up ^rp++++=up
the ^ati++++=the
stairs ^nns++++=stairs;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
remembering ^nc+++xvbg+=remembering
their ^pp$+pp3+++=their
mother ^nn++++=mother's
's ^$++++=EXTRAWORD
illness ^nns+nom+++=illness,
, ^zz++++=EXTRAWORD
checked ^xvbn+++xvbn+=checked
their ^pp$+pp3+++=their
steps ^nns++++=steps
and ^cc++++=and
entered ^vbd+++xvbn+=entered
softly ^rb++++=softly.
. ^zz++++=EXTRAWORD
Clara ^np++++=Clara
held ^vbd+vprv++xvbn+=held
a ^at++++=a
paper ^nn++++=paper
in ^in++++=in
her ^pp$+pp3+++=her
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Lucy ^np++++=Lucy's
's ^$++++=EXTRAWORD
eyes ^nns++++=eyes
shone ^vbd+++xvbn+=shone
with ^in++++=with
the ^ati++++=the
difficulty ^nn++++=difficulty
of ^in++++=of
keeping ^xvbg+++xvbg+=keeping
good ^jj+atrb+++=good
news ^nn++++=news
unspoken ^jj++++=unspoken.
. ^zz++++=EXTRAWORD
" ^zz++++="Mamma,"
mamma ^npt++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
began ^vbd+++xvbn+=began
Clara ^np++++=Clara,
, ^zz++++=EXTRAWORD
" ^zz++++="we
we ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
returned ^vprf+++xvbnx+=returned
from ^in++++=from
our ^pp$+pp1+++=our
examination ^nn+nom+++=examination,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Miss ^npt++++=Miss
Fielding ^np++++=Fielding
says ^vbz+vpub+++=says
" ^zz++++="
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
now ^rn+tm+++=now,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
interrupted ^vwbn+++xvbn+=interrupted
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Harcourt ^np++++=Harcourt.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
cannot ^md+pos+not++=cannot
attend ^vb++++=attend
to ^in++++=to
school ^nn++++=school
affairs ^nns++++=affairs.
. ^zz++++=EXTRAWORD
Lucy ^np++++=Lucy,
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=do
not ^xnot++not++=not
stand ^vb++++=stand
between ^in++++=between
me ^pp1o+pp1+++=me
and ^cc++++=and
the ^ati++++=the
fire ^nn++++=fire."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But,
but ^cc++++=EXTRAWORD
, ^zz++++=EXTRAWORD
mamma ^npt++++=mamma,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Lucy ^np++++=Lucy,
, ^zz++++=EXTRAWORD
" ^zz++++="Clara
clara ^np++++=EXTRAWORD
has ^vbz+hvz+aux++=has
won ^vprf+++xvbnx+=won
the ^ati++++=the
silver ^nn++++=silver
medal ^nn++++=medal."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Put
put ^vbd+++xvbn+=EXTRAWORD
it ^pp3+it+++=it
on ^in++++=on
the ^ati++++=the
table ^nn++++=table.
. ^zz++++=EXTRAWORD
The ^ati++++=The
fire ^nn++++=fire
is ^vbz+bez+vrb++=is
too ^ql++++=too
hot ^jj++++=hot.
. ^zz++++=EXTRAWORD
No ^at++++=No
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
going ^vbg+++xvbgx+=going
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
Why ^wrb+who+whq++=Why
has ^vbz+hvz+aux++=has
no ^at++++=no
one ^cd1++++=one
sense ^nn++++=sense
enough ^dt++++=enough
to ^to++++=to
keep ^vbi++++=keep
the ^ati++++=the
room ^nn++++=room
at ^in++++=at
one ^cd1++++=one
temperature ^nn++++=temperature?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
girls ^nns++++=girls
exchanged ^vbd+++xvbn+=exchanged
a ^at++++=a
glance ^nn++++=glance.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
first ^rb++++=first
in ^in++++=in
drawing ^xvbg+++xvbg+=drawing,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Lucy ^np++++=Lucy
ventured ^vbd+++xvbn+=ventured
to ^to+vcmp+++=to
add ^vbi+vpub+++=add.
. ^zz++++=EXTRAWORD
" ^zz++++="Must
must ^md+nec+++=EXTRAWORD
you ^pp2+pp2+++=you
both ^abx++++=both
talk ^nn++++=talk?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
told ^vbd+vpub+tht0+xvbnx+=told
you ^pp2+pp2+++=you
I ^pp1a+pp1+++=I
could ^md+pos+++=could
not ^xnot++not++=not
attend ^vb++++=attend.
. ^zz++++=EXTRAWORD
Take ^vb++++=Take
those ^dt+dem+++=those
rustling ^jj+atrb+++=rustling
frocks ^nns++++=frocks
away ^rp+pl+++=away."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
medal ^nn++++=medal,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
seemed ^vprf+++xvbnx+=seemed
so ^ql+emph+++=so
bright ^jj++++=bright
in ^in++++=in
the ^ati++++=the
school ^nn++++=school-room,
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
lay ^j+++xvbn+=lay
dull ^jj++++=dull
enough ^dt++++=enough
upon ^in++++=upon
the ^ati++++=the
table ^nn++++=table.
. ^zz++++=EXTRAWORD
Clara ^np++++=Clara
took ^vbd+++xvbn+=took
it ^pp3+it+++=it
up ^rp++++=up
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
sisters ^nns+nom+++=sisters
withdrew ^vbd+++xvbn+=withdrew.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vb+hv+aux++=had
not ^xnot++not++=not
ceased ^vprf+++xvbn+=ceased
to ^in++++=to
love ^nn++++=love
their ^pp$+pp3+++=their
mother ^nn++++=mother;
; ^zz++++=EXTRAWORD
children ^nns++++=children's
's ^$++++=EXTRAWORD
hearts ^nns++++=hearts
are ^vb+ber+vrb++=are
slow ^jj+pred+++=slow
to ^to+jcmp+++=to
close ^vbi++++=close
against ^in++++=against
a ^at++++=a
parent ^nn++++=parent.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
joy ^nn++++=joy,
, ^zz++++=EXTRAWORD
repeatedly ^rb++++=repeatedly
repulsed ^vbd+++xvbn+=repulsed,
, ^zz++++=EXTRAWORD
learns ^vbz+vprv+++=learns
to ^to+vcmp+++=to
seek ^vbi++++=seek
another ^dt++++=another
door ^nn++++=door.
. ^zz++++=EXTRAWORD
A ^at++++=A
servant ^nn+nom+++=servant
entered ^vbd+++xvbn+=entered
with ^in++++=with
a ^at++++=a
vase ^nn++++=vase
of ^in++++=of
early ^jj+atrb+++=early
violets ^nns+nom+++=violets.
. ^zz++++=EXTRAWORD
" ^zz++++="Miss
miss ^npt++++=EXTRAWORD
Clara ^np++++=Clara
gathered ^vbd+++xvbn+=gathered
them ^pp3o+pp3+++=them
for ^in++++=for
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
ma ^npt++++=ma'am."
'am." ^nn+++??+=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
smell ^nn++++=smell
too ^ql++++=too
strongly ^rb+amp+++=strongly."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
have ^vb+hv+vrb++=have
scarcely ^rb+down+++=scarcely
any ^dti++++=any
scent ^nn++++=scent,
, ^zz++++=EXTRAWORD
ma ^npt++++=ma'am."
'am." ^nn+++??+=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
not ^xnot++not++=not
contradict ^vb++++=contradict
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Put ^j+++xvbn+=Put
them ^pp3o+pp3+++=them
outside ^jjb++++=outside.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
draw ^vb++++=draw
the ^ati++++=the
curtain ^nn++++=curtain;
; ^zz++++=EXTRAWORD
the ^ati++++=the
sun ^nn++++=sun
strikes ^nns++++=strikes
directly ^rb++++=directly
upon ^in++++=upon
my ^pp$+pp1+++=my
face ^nn++++=face."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
maid ^nn++++=maid
obeyed ^vbd+++xvbn+=obeyed.
. ^zz++++=EXTRAWORD
A ^at++++=A
broad ^jj+atrb+++=broad
ray ^nn++++=ray,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
fallen ^vprf+++xvbn+=fallen
across ^in+pl+++=across
the ^ati++++=the
floor ^nn++++=floor
and ^cc++++=and
touched ^vbd+++xvbn+=touched
a ^at++++=a
portrait ^nn++++=portrait
of ^in++++=of
the ^ati++++=the
three ^cd++++=three
children ^nns++++=children,
, ^zz++++=EXTRAWORD
disappeared ^j+++xvbn+=disappeared.
. ^zz++++=EXTRAWORD
The ^ati++++=The
pictured ^jj+atrb++xvbn+=pictured
faces ^nns++++=faces
sank ^vbd+++xvbn+=sank
into ^in++++=into
shadow ^nn++++=shadow.
. ^zz++++=EXTRAWORD
So ^ql++++=So
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
with ^in++++=with
every ^at++++=every
thing ^nn++++=thing
that ^tht+rel+subj++=that
entered ^vprf+++xvbn+=entered
that ^dt+dem+++=that
chamber ^nn++++=chamber.
. ^zz++++=EXTRAWORD
Sunshine ^nn++++=Sunshine
was ^vbd+bedz+vrb++=was
too ^ql++++=too
glaring ^jj++++=glaring;
; ^zz++++=EXTRAWORD
shade ^nn++++=shade
was ^vbd+bedz+aux++=was
depressing ^vbg+++xvbgx+=depressing;
; ^zz++++=EXTRAWORD
flowers ^nns+nom+++=flowers
were ^vbd+bed+vrb++=were
offensive ^jj+pred+++=offensive;
; ^zz++++=EXTRAWORD
the ^ati++++=the
absence ^nn+nom+++=absence
of ^in++++=of
flowers ^nns+nom+++=flowers
showed ^vbd+vprv++xvbn+=showed
neglect ^nn++++=neglect.
. ^zz++++=EXTRAWORD
The ^ati++++=The
clock ^nn++++=clock
ticked ^vbd+++xvbn+=ticked
too ^rb++++=too
loudly ^rb+cnj+++=loudly,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
removed ^vbd+++xvbn+=removed,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
continually ^rb++++=continually
asked ^vbd+vsua++xvbn+=asked
the ^ati++++=the
hour ^nn++++=hour.
. ^zz++++=EXTRAWORD
The ^ati++++=The
pillows ^nns++++=pillows
were ^vbd+bed+vrb++=were
first ^od++++=first
too ^ql++++=too
high ^np++++=high
and ^cc++++=and
afterward ^rb++++=afterward
too ^rb++++=too
low ^jj++++=low.
. ^zz++++=EXTRAWORD
The ^ati++++=The
tea ^nn++++=tea
was ^vbd+bedz+vrb++=was
hot ^jj+pred+++=hot
enough ^dt++++=enough
to ^in++++=to
fever ^nn++++=fever
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
cooled ^jj+++xvbn+=cooled,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
unfit ^jj+pred+++=unfit
to ^to++++=to
drink ^vbi++++=drink.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
the ^ati++++=the
house ^nn++++=house
were ^vbd+bed+vrb++=were
quiet ^nn++++=quiet,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
declared ^vbd+vpub+tht0+xvbnx+=declared
