*[sam ^nn+++??+=*[Sam
it ^pp3+it+++=it
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
often ^rb++++=often
the ^ati++++=the
Lord ^npt++++=Lord
sees ^vbz+vprv+++=sees
fit ^jj++++=fit
to ^to+jcmp+++=to
put ^vbi++++=put
both ^abx++++=both
gifts ^nns++++=gifts
into ^in++++=into
one ^cd1++++=one
person ^nn++++=person.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
known ^vprf+++xvbnx+=known
women ^nns++++=women
that ^tht+rel+subj++=that
could ^md+pos+++=could
turn ^vb++++=turn
out ^rb+phrv+++=out
mince ^nn++++=mince
pies ^nns++++=pies
light ^jj++++=light
enough ^qlp++++=enough
to ^to++++=to
float ^vbi++++=float,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
yet ^rb++++=yet
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
tell ^vb++++=tell
Jonah ^np+++??+=Jonah
from ^in++++=from
Jeroboam ^np+++??+=Jeroboam;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
known ^vprf+++xvbnx+=known
ministers ^nns+nom+++=ministers
that ^tht+rel+subj++=that
could ^md+pos+++=could
take ^vb++++=take
the ^ati++++=the
horns ^nns++++=horns
of ^in++++=of
the ^ati++++=the
altar ^nn++++=altar
and ^cc++++=and
the ^ati++++=the
beasts ^nns++++=beasts
in ^in++++=in
Revelation ^nn+nom+++=Revelation
and ^cc++++=and
the ^ati++++=the
seventy ^cd++++=seventy
weeks ^nns++++=weeks
of ^in++++=of
Daniel ^np++++=Daniel,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
range ^nn++++=range
them ^pp3o+pp3+++0='em
all ^rb++++=all
in ^in++++=in
rows ^nns++++=rows
as ^ql++++=as
straight ^jj++++=straight
as ^ql++++=as
seed ^nn++++=seed-onions,
- ^zz++++=EXTRAWORD
onions ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
bile ^nn++++=bile
an ^at++++=an
egg ^nn++++=egg
without ^in++++=without
crackin ^nn+++??+=crackin'
' ^zz++++=EXTRAWORD
the ^ati++++=the
kittle ^nn+++??+=kittle.
. ^zz++++=EXTRAWORD
" ^zz++++="Parson
parson ^nn++++=EXTRAWORD
Carryl ^np+++??+=Carryl
was ^vbd+bedz+vrb++=was
one ^pn++++=one
of ^in++++0=o'
that ^dt+dem+++=that
sort ^nn++++=sort.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
knew ^vbd+vprv++xvbnx+=knew
every ^at++++=every
by ^in++++=by-path
- ^zz++++=EXTRAWORD
path ^nn++++=EXTRAWORD
from ^in++++=from
Genesis ^nn++++=Genesis
to ^in++++=to
Revelation ^nn+nom+++=Revelation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
could ^md+pos+++=could
fetch ^vb++++=fetch
up ^rp++++=up
a ^at++++=a
text ^nn++++=text
from ^in++++=from
any ^dti++++=any
part ^nn++++=part
of ^in++++0=o'
Scripture ^nn++++=Scripture
as ^ql++++=as
handy ^np++++=handy
as ^ql++++=as
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Deacon ^np+++??+=Deacon
Peabody ^np+++??+=Peabody
could ^md+pos+++=could
fetch ^vb++++=fetch
a ^at++++=a
stocking ^nn++++=stocking-needle
- ^zz++++=EXTRAWORD
needle ^nn++++=EXTRAWORD
out ^rp+pl+++=out
of ^in++++0=o'
her ^pp$+pp3+++=her
apron ^nn++++=apron
pocket ^nn++++=pocket.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
tall ^jj+atrb+++=tall,
, ^zz++++=EXTRAWORD
grave ^jj+atrb+++=grave
man ^nn++++=man,
, ^zz++++=EXTRAWORD
with ^in++++=with
white ^jj+atrb+++=white
hair ^nn++++=hair
risin ^nn+++??+=risin'
' ^zz++++=EXTRAWORD
over ^in++++=over
his ^pp$+pp3+++=his
forehead ^nn++++=forehead,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
eyes ^nns++++=eyes
that ^tht+rel+subj++=that
looked ^vprf+++xvbn+=looked
right ^jj++++=right
through ^in++++=through
common ^jj+atrb+++=common
things ^nns++++=things
and ^cc++++=and
on ^in++++=on
into ^in++++=into
eternity ^nn+nom+++=eternity;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
consequence ^nn+nom+++=consequence
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
commonly ^rb++++=commonly
stumbled ^vbd+++xvbn+=stumbled
over ^in++++=over
the ^ati++++=the
common ^jj+atrb+++=common
things ^nns++++=things.
. ^zz++++=EXTRAWORD
" ^zz++++="His
his ^pp$+pp3+++=EXTRAWORD
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Carryl ^np+++??+=Carryl,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++0=she'd
'd ^md+prd+aux++=EXTRAWORD
always ^rb++splt++=always
seen ^vprf+++xvbnx+=seen
to ^to+vcmp+++=to
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
one ^pn++++=one
of ^in++++0=o'
your ^pp$+pp2+++=your
thin ^jj+atrb+++=thin,
, ^zz++++=EXTRAWORD
resolute ^jj+atrb+++=resolute
women ^nns++++=women,
, ^zz++++=EXTRAWORD
tough ^jj++++=tough
as ^in++++=as
a ^at++++=a
cart ^nn++++=cart-whip
- ^zz++++=EXTRAWORD
whip ^nn++++=EXTRAWORD
and ^cc++++=and
smart ^jj++++=smart
as ^in++++=as
a ^at++++=a
steel ^nn++++=steel
trap ^nn++++=trap.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
could ^md+pos+++=could
keep ^vb++++=keep
the ^ati++++=the
parson ^nn++++=parson,
, ^zz++++=EXTRAWORD
two ^cd++++=two
hired ^vbd+++xvbn+=hired
men ^nns++++=men,
, ^zz++++=EXTRAWORD
a ^at++++=a
bound ^jj+atrb++xvbn+=bound
boy ^nn++++=boy,
, ^zz++++=EXTRAWORD
fourteen ^cd++++=fourteen
hens ^nns++++=hens,
, ^zz++++=EXTRAWORD
a ^at++++=a
cow ^nn++++=cow
with ^in++++=with
a ^at++++=a
cross ^jj+atrb+++=cross
disposition ^nn+nom+++=disposition,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
whole ^jj+atrb+++=whole
female ^nn++++=female
prayer ^nn++++=prayer-meetin'
- ^zz++++=EXTRAWORD
meetin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
in ^in++++=in
their ^pp$+pp3+++=their
proper ^jj+atrb+++=proper
places ^nns++++=places,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
never ^rb++++=never
raise ^vb++++=raise
her ^pp$+pp3+++=her
voice ^nn++++=voice
above ^rb++++=above
what ^wdt+who+++=what
she ^pp3a+pp3+++=she
called ^vbd+++xvbnx+=called
a ^at++++=a
Christian ^jj+atrb+++=Christian
tone ^nn++++=tone.
. ^zz++++=EXTRAWORD
Folks ^nns++++=Folks
said ^vbd+vpub++xvbn+=said
Parson ^nn++++=Parson
Carryl ^np+++??+=Carryl
ruled ^vbd+vsua++xvbn+=ruled
the ^ati++++=the
church ^nn++++=church;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Carryl ^np+++??+=Carryl
ruled ^vbd+vsua++xvbn+=ruled
the ^ati++++=the
parsonage ^nn+nom+++=parsonage,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
between ^in++++=between
you ^pp2+pp2+++=you
and ^cc++++=and
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
boys ^nns++++=boys,
, ^zz++++=EXTRAWORD
the ^ati++++=the
church ^npl++++=church
too ^ql++++=too,
, ^zz++++=EXTRAWORD
considerable ^jj++++=considerable.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
at ^rb++++=at
last ^rb"++++=last
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
took ^vpsv++agls+xvbnx+=took
down ^rb+phrv+++=down
with ^in++++=with
the ^ati++++=the
slow ^jj+atrb+++=slow
fever ^nn++++=fever,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
she ^pp3a+pp3+++=she
fought ^vbd+++xvbnx+=fought
it ^pp3+it+++=it
as ^cs+sub+++=as
if ^cs+cnd+++=if
it ^pp3+it+++0='twas
was ^vbd+bedz+vrb++=EXTRAWORD
a ^at++++=a
disorderly ^nn++++=disorderly
hired ^vbd+++xvbn+=hired
man ^nn++++=man,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
turn ^vb++++=turn
it ^pp3+it+++=it
out ^rp+pl+++=out
of ^in++++0=o'
doors ^nns++++=doors.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
died ^vbd+++xvbnx+=died
along ^in++++=along
in ^in++++=in
March ^nn++++=March,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
snow ^nn++++=snow
was ^vbd+bedz+vrb++=was
slushin ^nn+++??+=slushin'
' ^zz++++=EXTRAWORD
off ^in+pl+++=off
the ^ati++++=the
eaves ^nns++++=eaves
and ^cc++++=and
the ^ati++++=the
roads ^nns++++=roads
was ^vbd+bedz+vrb++=was
knee ^nn++++=knee-deep
- ^zz++++=EXTRAWORD
deep ^jj++++=EXTRAWORD
with ^in++++=with
mud ^nn++++=mud.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
parson ^nn++++=parson
preached ^vbd+++xvbn+=preached
the ^ati++++=the
Sabbath ^nn++++=Sabbath
arter ^jjr++++=arter
the ^ati++++=the
funeral ^nn++++=funeral.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
took ^vbd+++xvbnx+=took
his ^pp$+pp3+++=his
text ^nn++++=text
about ^in++++=about
bein ^nn+++??+=bein'
' ^zz++++=EXTRAWORD
a ^at++++=a
stranger ^nn+nom+++=stranger
and ^cc++++=and
pilgrim ^nn++++=pilgrim
on ^in++++=on
the ^ati++++=the
earth ^nn++++=earth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^rn+pl+++=there
war ^nn++++=warn't
n't ^xnot++not++0=EXTRAWORD
a ^at++++=a
dry ^jj+atrb+++=dry
eye ^nn++++=eye
in ^in++++=in
the ^ati++++=the
meetin ^nn+++??+=meetin'-house.
'-house. ^nn+++??+=EXTRAWORD
He ^pp3a+pp3+++=He
spoke ^vbd+++xvbnx+=spoke
calm ^nn++++=calm,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
his ^pp$+pp3+++=his
face ^vb++++=face
looked ^vbd+++xvbn+=looked
sort ^rb+hdg+++=sort
of ^+hdg"+++0=o'
emptied ^vbd+++xvbn+=emptied
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
house ^nn++++=house
when ^wrb+who+++=when
all ^rb++++=all
the ^ati++++=the
furniture ^nn++++=furniture's
's ^$++++=EXTRAWORD
been ^vprf+ben+aux+xvbnx+=been
sold ^vpsv++agls+xvbnx+=sold
at ^rb++++=at
vendue ^nn+++??+=vendue.
. ^zz++++=EXTRAWORD
The ^ati++++=The
fact ^nn++++=fact
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++0=he'd
'd ^vbd+hvd+aux++=EXTRAWORD
loved ^vprf+++xvbnx+=loved
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Carryl ^np+++??+=Carryl
in ^in++++=in
his ^pp$+pp3+++=his
way ^nn++++=way,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
he ^pp3a+pp3+++0=he'd
'd ^vbd+hvd+aux++=EXTRAWORD
been ^vprf+ben+vrb+xvbnx+=been
so ^ql+emph+++=so
used ^jj+++xvbn+=used
to ^in++++=to
her ^pp$+pp3+++=her
keepin ^nn+++??+=keepin'
' ^zz++++=EXTRAWORD
life ^nn++++=life
smooth ^jj++++=smooth
under ^in++++=under
his ^pp$+pp3+++=his
feet ^nns++++=feet
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
no ^at++++=no
more ^rbr++++=more
thought ^nn+++xvbn+=thought
how ^wrb+who+++=how
she ^pp3a+pp3+++=she
did ^vbd+dod+vrb++=did
it ^pp3+it+++=it
than ^in++++=than
you ^pp2+pp2+++=you
think ^vb+vprv+++=think
how ^wrb+who+whcl++=how
the ^ati++++=the
ground ^nn++++=ground
holds ^vbz+vprv+tht0++=holds
you ^pp2+pp2+++=you
up ^rp++++=up.
. ^zz++++=EXTRAWORD
" ^zz++++="Now
now ^rn+tm+++=EXTRAWORD
there ^ex+pex+++=there'd
'd ^vbd+hvd+aux++0=EXTRAWORD
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
young ^jj+atrb+++=young
woman ^nn++++=woman
helpin ^nn+++??+=helpin'
' ^zz++++=EXTRAWORD
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Carryl ^np+++??+=Carryl
that ^tht+rel+++=that
last ^rb++++=last
year ^nn++++=year
Huldah ^np+++??+=Huldah
Greene ^np+++??+=Greene.
. ^zz++++=EXTRAWORD
Everybody ^pn++++=Everybody
called ^vbd+++xvbn+=called
her ^pp3o+pp3+++=her
Huldy ^np+++??+=Huldy.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+aux++=was
left ^vpsv++agls+xvbnx+=left
without ^in++++=without
father ^nn++++=father
or ^cc++++=or
mother ^nn++++=mother
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
war ^nn++++=warn't
n't ^xnot++not++0=EXTRAWORD
more ^rbr++++=more'n
'n ^nn+++??+=EXTRAWORD
sixteen ^cd++++=sixteen,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Carryl ^np+++??+=Carryl
had ^vbd+hvd+aux++=had
took ^vprf+++xvbnx+=took
her ^pp$+pp3+++=her
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
partly ^rb+down+++=partly
out ^rp+pl+++=out
of ^in++++0=o'
charity ^nn+nom+++=charity
and ^cc++++=and
partly ^rb+down+++=partly
because ^cs+cos+++=because
she ^pp3a+pp3+++=she
knew ^vbd+vprv++xvbnx+=knew
a ^at++++=a
good ^jj+atrb+++=good
pair ^nn++++=pair
of ^in++++0=o'
hands ^nns++++=hands
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
saw ^vbd+vprv++xvbnx+=saw
' ^zz++++='em.
em ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="Huldy
huldy ^nn+++??+=EXTRAWORD
was ^vbd+bedz+vrb++=was
nothin ^nn+++??+=nothin'
' ^zz++++=EXTRAWORD
of ^in++++=of
a ^at++++=a
helpless ^jj++++=helpless,
, ^zz++++=EXTRAWORD
hangin ^nn+++??+=hangin'-vine
'-vine ^nn+++??+=EXTRAWORD
kind ^nn++++=kind.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
straight ^jj+pred+++=straight
and ^cc+phrs+++=and
strong ^jj++++=strong,
, ^zz++++=EXTRAWORD
with ^in++++=with
brown ^jj+atrb+++=brown
hair ^nn++++=hair
that ^tht+rel+subj++=that
had ^vb+hv+vrb++=had
a ^at++++=a
glint ^nn++++=glint
of ^in++++=of
gold ^nn++++=gold
where ^wrb+who+++=where
the ^ati++++=the
sun ^nn++++=sun
struck ^vbd+++xvbn+=struck
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
clear ^jj+atrb+++=clear
gray ^np++++=gray
eyes ^nns++++=eyes
that ^tht+rel+subj++=that
could ^md+pos+++=could
look ^vb++++=look
mild ^jj++++=mild
as ^ql++++=as
June ^nr++++=June
rain ^nn++++=rain
or ^cc++++=or
steady ^jj++++=steady
as ^ql++++=as
a ^at++++=a
frost ^nn++++=frost,
, ^zz++++=EXTRAWORD
' ^zz++++='cordin'
cordin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
to ^to++++=to
what ^wdt+who+++=what
there ^ex+pex+++=there
was ^vbd+bedz+aux++=was
to ^to++++=to
be ^vbi+vbi+aux++=be
looked ^vpsv++agls+xvbnx+=looked
at ^rb++++=at.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
cheeks ^nns++++=cheeks
had ^vb+hv+vrb++=had
that ^dt+dem+++=that
sort ^rb+hdg+++=sort
of ^+hdg"+++0=o'
color ^nn++++=color
you ^pp2+pp2+++=you
see ^vb+vprv+++=see
on ^in++++=on
the ^ati++++=the
shady ^jj+atrb+++=shady
side ^nn++++=side
of ^in++++=of
a ^at++++=a
Baldwin ^np++++=Baldwin
apple ^nn++++=apple,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
laughed ^vbd+++xvbnx+=laughed
wal ^nn++++=wal,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
to ^to++++=to
talk ^vbi++++=talk
foolish ^jj++++=foolish,
, ^zz++++=EXTRAWORD
boys ^nns++++=boys,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
laughs ^nns++++=laughs
that ^tht+rel+subj++=that
make ^vb++++=make
a ^at++++=a
room ^nn++++=room
seem ^vb+seem+++=seem
warmer ^jjr++++=warmer,
, ^zz++++=EXTRAWORD
same ^ap++++=same
as ^in++++=as
openin ^nn+++??+=openin'
' ^zz++++=EXTRAWORD
the ^ati++++=the
oven ^nn++++=oven
door ^nn++++=door
on ^in++++=on
bakin ^nn+++??+=bakin'-day.
'-day. ^nn+++??+=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
could ^md+pos+++=could
spin ^vb++++=spin,
, ^zz++++=EXTRAWORD
weave ^vb++++=weave,
, ^zz++++=EXTRAWORD
sew ^nn+++??+=sew,
, ^zz++++=EXTRAWORD
churn ^j+++xvbn+=churn,
, ^zz++++=EXTRAWORD
bake ^vb++++=bake,
, ^zz++++=EXTRAWORD
brew ^nn++++=brew
spruce ^nn++++=spruce
beer ^nn++++=beer,
, ^zz++++=EXTRAWORD
make ^vb++++=make
soft ^jj+atrb+++=soft
soap ^nn++++=soap,
, ^zz++++=EXTRAWORD
dip ^nn++++=dip
candles ^nns++++=candles,
, ^zz++++=EXTRAWORD
nurse ^vb++++=nurse
a ^at++++=a
sick ^jj+atrb+++=sick
body ^nn++++=body,
, ^zz++++=EXTRAWORD
quiet ^nn++++=quiet
a ^at++++=a
fretful ^jj+atrb+++=fretful
baby ^nn++++=baby,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
tell ^vb++++=tell
by ^in++++=by
the ^ati++++=the
smell ^nn++++=smell
when ^wrb+who+++=when
a ^at++++=a
preserve ^nn++++=preserve
kettle ^nn++++=kettle
was ^vbd+bedz+vrb++=was
one ^cd1++++=one
minute ^nn++++=minute
from ^in++++=from
scorchin ^nn+++??+=scorchin'.
'. ^nn+++??+=EXTRAWORD
Work ^vb++++=Work
rolled ^vbd+++xvbn+=rolled
off ^in+pl+++=off
from ^in++++=from
her ^pp$+pp3+++=her
like ^in++++=like
water ^nn++++=water
off ^in+pl+++=off
a ^at++++=a
duck ^nn++++=duck's
's ^vbz+bez+vrb++0=EXTRAWORD
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
never ^rb++++=never
seemed ^vbd+seem++xvbn+=seemed
hurried ^vprf+++xvbn+=hurried,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
everything ^pn++++=everything
was ^vbd+bedz+aux++=was
done ^vpsv++agls+xvbnx+=done.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
seen ^vprf++tht0+xvbnx+=seen
women ^nns++++=women
make ^vb++++=make
more ^rbr++++=more
commotion ^nn+nom+++=commotion
over ^in++++=over
one ^cd1++++=one
batch ^nn++++=batch
of ^in++++0=o'
pies ^nns++++=pies
than ^in++++=than
Huldy ^np+++??+=Huldy
made ^vbd+++xvbn+=made
over ^in++++=over
a ^at++++=a
parish ^nn++++=parish
supper ^nn++++=supper.
. ^zz++++=EXTRAWORD
" ^zz++++="So,
so ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
arter ^jjr++++=arter
Mis ^npt++++=Mis'
' ^zz++++=EXTRAWORD
Carryl ^np+++??+=Carryl
died ^vbd+++xvbn+=died,
, ^zz++++=EXTRAWORD
Huldy ^np+++??+=Huldy
stayed ^vbd+++xvbn+=stayed
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There
war ^nn++++=warn't
n't ^xnot++not++0=EXTRAWORD
no ^at++++=no
particular ^jj+atrb+++=particular
agreement ^nn+nom+++=agreement
at ^rb++++=at
first ^rb"++++=first.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
jist ^nn++++=jist
stayed ^vbd+++xvbn+=stayed
because ^cs+cos+++=because
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
the ^ati++++=the
parson ^nn++++=parson,
, ^zz++++=EXTRAWORD
poor ^jj+atrb+++=poor
innocent ^jj+atrb+++=innocent
soul ^nn++++=soul,
, ^zz++++=EXTRAWORD
wanderin ^nn+++??+=wanderin'
' ^zz++++=EXTRAWORD
round ^in++++=round
among ^in++++=among
funeral ^nn++++=funeral
gloves ^nns++++=gloves,
, ^zz++++=EXTRAWORD
condolence ^nn+nom+++=condolence
letters ^nns+nom+++=letters,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
jars ^nns++++=jars
of ^in++++=of
things ^nns++++=things
the ^ati++++=the
neighbors ^nns++++=neighbors
had ^vbd+hvd+aux++=had
sent ^vprf+++xvbnx+=sent
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++0=He'd
'd ^md+prd+vrb++=EXTRAWORD
open ^jj++++=open
the ^ati++++=the
pantry ^nn++++=pantry
door ^nn++++=door
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
meant ^vbd+vprv++xvbnx+=meant
to ^to+vcmp+++=to
go ^vbi++++=go
upstairs ^jjb++++=upstairs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
once ^rb+tm+++=once
he ^pp3a+pp3+++=he
carried ^vbd+++xvbnx+=carried
a ^at++++=a
clean ^jj+atrb+++=clean
shirt ^nn++++=shirt
to ^in++++=to
the ^ati++++=the
barn ^nn++++=barn
and ^cc++++=and
laid ^vbd+++xvbn+=laid
it ^pp3+it+++=it
in ^in++++=in
the ^ati++++=the
haymow ^nn+++??+=haymow,
, ^zz++++=EXTRAWORD
under ^in++++=under
an ^at++++=an
impression ^nn++++=impression
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
sermon ^nn++++=sermon
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
goin ^nn+++??+=goin'
' ^zz++++=EXTRAWORD
to ^in++++=to
study ^nn++++=study.
. ^zz++++=EXTRAWORD
" ^zz++++="Huldy
huldy ^vb+++??+=EXTRAWORD
put ^vbd+++xvbn+=put
the ^ati++++=the
house ^nn++++=house
to ^in++++=to
rights ^nns++++=rights,
, ^zz++++=EXTRAWORD
answered ^j+++xvbn+=answered
the ^ati++++=the
door ^nn++++=door,
, ^zz++++=EXTRAWORD
fed ^j+++xvbn+=fed
the ^ati++++=the
men ^nns++++=men,
, ^zz++++=EXTRAWORD
kept ^j+++xvbn+=kept
the ^ati++++=the
fires ^nns++++=fires,
, ^zz++++=EXTRAWORD
sorted ^j+++xvbn+=sorted
the ^ati++++=the
dead ^jj+atrb+++=dead
lady ^nn++++=lady's
's ^$++++=EXTRAWORD
clothes ^nns++++=clothes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
moved ^vbd+++xvbn+=moved
soft ^jj++++=soft-footed
- ^zz++++=EXTRAWORD
footed ^jj+++xvbn+=EXTRAWORD
through ^in++++=through
the ^ati++++=the
rooms ^nns++++=rooms,
, ^zz++++=EXTRAWORD
singin ^nn+++??+=singin'
